name	probe_name	hemisphere	x	y	z	impedance	shank_id	size	material	location
e001	probe01	L	5700	4200	3800	1.2	0	12	iridium-oxide	MOp
e002	probe01	L	5700	4200	3775	1.1	0	12	iridium-oxide	MOp
e003	probe01	L	5732	4200	3800	1.3	0	12	iridium-oxide	MOp
e004	probe01	L	5732	4200	3775	1.4	0	12	iridium-oxide	MOp
e005	probe01	L	5700	4200	3750	1.2	0	12	iridium-oxide	MOp
e006	probe01	L	5700	4200	3725	1.1	0	12	iridium-oxide	MOp
e007	probe01	L	5732	4200	3750	1.3	0	12	iridium-oxide	MOp
e008	probe01	L	5732	4200	3725	1.2	0	12	iridium-oxide	MOp
e009	probe01	L	5700	4200	3700	1.1	0	12	iridium-oxide	MOp
e010	probe01	L	5700	4200	3675	1.2	0	12	iridium-oxide	MOp
e011	probe01	L	5732	4200	3700	1.1	0	12	iridium-oxide	MOp
e012	probe01	L	5732	4200	3675	1.3	0	12	iridium-oxide	MOp
e013	probe01	L	5700	4200	3650	1.2	0	12	iridium-oxide	MOp
e014	probe01	L	5700	4200	3625	1.1	0	12	iridium-oxide	MOp
e015	probe01	L	5732	4200	3650	1.2	0	12	iridium-oxide	MOp
e016	probe01	L	5732	4200	3625	1.1	0	12	iridium-oxide	MOp
e017	probe01	L	5700	4200	3600	1.3	0	12	iridium-oxide	MOp
e018	probe01	L	5700	4200	3575	1.2	0	12	iridium-oxide	MOp
e019	probe01	L	5732	4200	3600	1.1	0	12	iridium-oxide	MOp
e020	probe01	L	5732	4200	3575	1.2	0	12	iridium-oxide	MOp
e021	probe01	L	5700	4200	3550	1.1	0	12	iridium-oxide	MOp
e022	probe01	L	5700	4200	3525	1.3	0	12	iridium-oxide	MOp
e023	probe01	L	5732	4200	3550	1.2	0	12	iridium-oxide	MOp
e024	probe01	L	5732	4200	3525	1.1	0	12	iridium-oxide	MOp
e025	probe01	L	5700	4200	3500	1.2	0	12	iridium-oxide	MOp
e026	probe01	L	5700	4200	3475	1.1	0	12	iridium-oxide	MOp
e027	probe01	L	5732	4200	3500	1.3	0	12	iridium-oxide	MOp
e028	probe01	L	5732	4200	3475	1.2	0	12	iridium-oxide	MOp
e029	probe01	L	5700	4200	3450	1.1	0	12	iridium-oxide	MOp
e030	probe01	L	5700	4200	3425	1.2	0	12	iridium-oxide	MOp
e031	probe01	L	5732	4200	3450	1.1	0	12	iridium-oxide	MOp
e032	probe01	L	5732	4200	3425	1.3	0	12	iridium-oxide	MOp
e033	probe02	R	7800	3500	2800	1.2	0	15	iridium	CA1
e034	probe02	R	7800	3500	2750	1.1	0	15	iridium	CA1
e035	probe02	R	7800	3500	2700	1.3	0	15	iridium	CA1
e036	probe02	R	7800	3500	2650	1.2	0	15	iridium	CA1
e037	probe02	R	7800	3500	2600	1.4	0	15	iridium	CA1
e038	probe02	R	7800	3500	2550	1.1	0	15	iridium	CA1
e039	probe02	R	7800	3500	2500	1.2	0	15	iridium	CA1
e040	probe02	R	7800	3500	2450	1.3	0	15	iridium	CA1
e041	probe02	R	7800	3500	2400	1.2	0	15	iridium	CA1
e042	probe02	R	7800	3500	2350	1.1	0	15	iridium	CA1
e043	probe02	R	7800	3500	2300	1.4	0	15	iridium	CA1
e044	probe02	R	7800	3500	2250	1.2	0	15	iridium	CA1
e045	probe02	R	7800	3500	2200	1.3	0	15	iridium	CA1
e046	probe02	R	7800	3500	2150	1.1	0	15	iridium	CA1
e047	probe02	R	7800	3500	2100	1.2	0	15	iridium	CA1
e048	probe02	R	7800	3500	2050	1.3	0	15	iridium	CA1
