onset	duration	onset_sample	stim_type	trigger	stim_file
25.474	0	26024	Unfamiliar	13	meg/u087.bmp
28.873	0	29423	Famous	5	meg/f093.bmp
32.236	0	32786	Unfamiliar	13	meg/u140.bmp
35.893	0	36443	Unfamiliar	13	meg/u029.bmp
39.439	0	39989	Famous	5	meg/f147.bmp
42.949	0	43499	Famous	6	meg/f147.bmp
46.293	0	46843	Famous	5	meg/f070.bmp
49.693	0	50243	Unfamiliar	15	meg/u087.bmp
53.166	0	53716	Scrambled	17	meg/s039.bmp
56.767	0	57317	Famous	7	meg/f093.bmp
60.259	0	60809	Unfamiliar	13	meg/u124.bmp
63.75	0	64300	Unfamiliar	15	meg/u140.bmp
67.37	0	67920	Scrambled	17	meg/s062.bmp
70.788	0	71338	Scrambled	18	meg/s062.bmp
74.334	0	74884	Unfamiliar	15	meg/u029.bmp
77.918	0	78468	Scrambled	17	meg/s078.bmp
81.521	0	82071	Scrambled	17	meg/s072.bmp
84.974	0	85524	Scrambled	18	meg/s072.bmp
88.374	0	88924	Famous	7	meg/f070.bmp
91.7	0	92250	Famous	5	meg/f034.bmp
95.173	0	95723	Famous	6	meg/f034.bmp
98.627	0	99177	Scrambled	19	meg/s039.bmp
102.321	0	102871	Scrambled	17	meg/s076.bmp
105.757	0	106307	Unfamiliar	15	meg/u124.bmp
109.175	0	109725	Famous	5	meg/f145.bmp
112.685	0	113235	Famous	6	meg/f145.bmp
116.158	0	116708	Scrambled	17	meg/s150.bmp
119.649	0	120199	Scrambled	18	meg/s150.bmp
123.214	0	123764	Scrambled	19	meg/s078.bmp
126.687	0	127237	Unfamiliar	13	meg/u055.bmp
130.16	0	130710	Unfamiliar	13	meg/u144.bmp
133.523	0	134073	Unfamiliar	14	meg/u144.bmp
136.922	0	137472	Scrambled	17	meg/s091.bmp
140.505	0	141055	Scrambled	19	meg/s076.bmp
143.96	0	144510	Scrambled	17	meg/s071.bmp
147.249	0	147799	Scrambled	18	meg/s071.bmp
150.943	0	151493	Unfamiliar	13	meg/u139.bmp
154.379	0	154929	Unfamiliar	14	meg/u139.bmp
157.852	0	158402	Scrambled	17	meg/s127.bmp
161.27	0	161820	Scrambled	18	meg/s127.bmp
164.651	0	165201	Unfamiliar	15	meg/u055.bmp
168.161	0	168711	Famous	5	meg/f101.bmp
171.634	0	172184	Unfamiliar	13	meg/u032.bmp
175.015	0	175565	Unfamiliar	14	meg/u032.bmp
178.433	0	178983	Scrambled	19	meg/s091.bmp
181.796	0	182346	Famous	5	meg/f074.bmp
185.195	0	185745	Scrambled	17	meg/s036.bmp
188.686	0	189236	Scrambled	18	meg/s036.bmp
192.141	0	192691	Famous	5	meg/f142.bmp
195.559	0	196109	Famous	6	meg/f142.bmp
199.105	0	199655	Famous	5	meg/f069.bmp
202.689	0	203239	Famous	6	meg/f069.bmp
206.254	0	206804	Famous	7	meg/f101.bmp
209.69	0	210240	Scrambled	17	meg/s004.bmp
