onset	duration	trial_type	0	1	2	3
0.000	0.350	Words	mist	1	NR	NR
1.100	0.350	Words	otter	1	NR	NR
2.100	0.350	Words	otter	1	34	459
3.100	0.350	Words	verse	1	NR	NR
4.100	0.350	Words	pail	1	NR	NR
5.100	0.350	Words	bosom	1	NR	NR
6.100	0.350	Words	tidy	1	NR	NR
7.100	0.350	Words	buyer	1	NR	NR
8.100	0.350	Words	port	1	NR	NR
9.100	0.350	Words	gulf	1	NR	NR
10.100	0.350	Words	gulf	1	34	447
11.200	0.350	Words	timid	1	NR	NR
12.200	0.350	Words	fowl	1	NR	NR
13.200	0.350	Words	navel	1	NR	NR
14.200	0.350	Words	spurt	1	NR	NR
15.200	0.350	Words	naval	1	NR	NR
16.200	0.350	Objects	blmv	2	NR	NR
17.200	0.350	Objects	gmzbw	2	NR	NR
18.200	0.350	Objects	gmzbw	2	34	510
19.200	0.350	Objects	fpjnl	2	NR	NR
20.200	0.350	Objects	nsqs	2	NR	NR
21.200	0.350	Objects	gprdk	2	NR	NR
22.200	0.350	Objects	jjfm	2	NR	NR
23.300	0.350	Objects	vhhtx	2	NR	NR
24.300	0.350	Objects	zrpc	2	NR	NR
25.300	0.350	Objects	tjlf	2	NR	NR
26.300	0.350	Objects	tjlf	2	34	445
27.300	0.350	Objects	hxfnj	2	NR	NR
28.300	0.350	Objects	bptb	2	NR	NR
29.300	0.350	Objects	wzkcb	2	NR	NR
30.300	0.350	Objects	lnzxh	2	NR	NR
31.300	0.350	Objects	mcvqp	2	NR	NR
32.700	0.350	Scrambled objects	kettle	3	NR	NR
33.800	0.350	Scrambled objects	ear	3	NR	NR
34.900	0.350	Scrambled objects	pencil	3	NR	NR
35.900	0.350	Scrambled objects	pencil	3	34	394
37.000	0.350	Scrambled objects	bird	3	NR	NR
38.200	0.350	Scrambled objects	snail	3	NR	NR
39.300	0.350	Scrambled objects	hook	3	NR	NR
40.400	0.350	Scrambled objects	mop	3	NR	NR
41.500	0.350	Scrambled objects	plate	3	NR	NR
42.700	0.350	Scrambled objects	owl	3	NR	NR
43.700	0.350	Scrambled objects	slide	3	NR	NR
44.700	0.350	Scrambled objects	slide	3	34	672
45.800	0.350	Scrambled objects	brain	3	NR	NR
46.900	0.350	Scrambled objects	whisk	3	NR	NR
47.900	0.350	Scrambled objects	worm	3	NR	NR
49.000	0.350	Scrambled objects	leek	3	NR	NR
50.200	0.350	Consonant strings	scram_1	4	NR	NR
51.300	0.350	Consonant strings	scram_2	4	34	437
52.300	0.350	Consonant strings	scram_2	4	NR	NR
53.400	0.350	Consonant strings	scram_4	4	NR	NR
54.500	0.350	Consonant strings	scram_5	4	34	444
55.500	0.350	Consonant strings	scram_6	4	NR	NR
56.600	0.350	Consonant strings	scram_7	4	NR	NR
57.800	0.350	Consonant strings	scram_8	4	NR	NR
58.900	0.350	Consonant strings	scram_9	4	NR	NR
60.000	0.350	Consonant strings	scram_10	4	NR	NR
61.000	0.350	Consonant strings	scram_10	4	NR	NR
62.000	0.350	Consonant strings	scram_12	4	NR	NR
63.100	0.350	Consonant strings	scram_13	4	34	379
64.100	0.350	Consonant strings	scram_14	4	NR	NR
65.200	0.350	Consonant strings	scram_15	4	NR	NR
66.300	0.350	Consonant strings	scram_16	4	NR	NR
84.100	0.350	Scrambled objects	mug	3	NR	NR
85.200	0.350	Scrambled objects	hat	3	NR	NR
86.300	0.350	Scrambled objects	chain	3	NR	NR
87.400	0.350	Scrambled objects	crab	3	NR	NR
88.500	0.350	Scrambled objects	frog	3	NR	NR
89.500	0.350	Scrambled objects	frog	3	34	693
90.600	0.350	Scrambled objects	log	3	NR	NR
91.800	0.350	Scrambled objects	cookie	3	NR	NR
92.900	0.350	Scrambled objects	seal	3	NR	NR
94.000	0.350	Scrambled objects	sock	3	NR	NR
95.100	0.350	Scrambled objects	biro	3	NR	NR
96.200	0.350	Scrambled objects	button	3	NR	NR
97.300	0.350	Scrambled objects	dagger	3	NR	NR
98.500	0.350	Scrambled objects	egg	3	NR	NR
99.500	0.350	Scrambled objects	egg	3	34	416
100.700	0.350	Scrambled objects	horse	3	NR	NR
101.700	0.350	Words	greed	1	NR	NR
102.700	0.350	Words	swamp	1	NR	NR
103.700	0.350	Words	links	1	NR	NR
104.700	0.350	Words	mash	1	NR	NR
105.700	0.350	Words	mash	1	34	673
106.700	0.350	Words	flee	1	NR	NR
107.700	0.350	Words	curse	1	NR	NR
108.700	0.350	Words	heir	1	NR	NR
109.800	0.350	Words	clash	1	NR	NR
110.800	0.350	Words	strut	1	NR	NR
111.800	0.350	Words	naive	1	NR	NR
112.800	0.350	Words	ferry	1	NR	NR
113.800	0.350	Words	duke	1	NR	NR
114.800	0.350	Words	duke	1	34	383
115.800	0.350	Words	wrest	1	NR	NR
116.800	0.350	Words	magic	1	NR	NR
118.000	0.350	Consonant strings	scram_17	4	NR	NR
119.000	0.350	Consonant strings	scram_18	4	34	425
120.000	0.350	Consonant strings	scram_19	4	NR	NR
121.100	0.350	Consonant strings	scram_20	4	NR	NR
122.100	0.350	Consonant strings	scram_20	4	NR	NR
123.100	0.350	Consonant strings	scram_22	4	NR	NR
124.200	0.350	Consonant strings	scram_23	4	34	431
125.200	0.350	Consonant strings	scram_24	4	NR	NR
126.300	0.350	Consonant strings	scram_25	4	NR	NR
127.300	0.350	Consonant strings	scram_26	4	NR	NR
128.400	0.350	Consonant strings	scram_27	4	34	464
129.400	0.350	Consonant strings	scram_28	4	NR	NR
130.500	0.350	Consonant strings	scram_29	4	NR	NR
131.500	0.350	Consonant strings	scram_29	4	34	397
132.600	0.350	Consonant strings	scram_31	4	NR	NR
133.600	0.350	Consonant strings	scram_32	4	NR	NR
134.600	0.350	Objects	xxcgm	2	NR	NR
135.600	0.350	Objects	mkmjt	2	NR	NR
136.600	0.350	Objects	jpkwp	2	NR	NR
137.600	0.350	Objects	hzvk	2	NR	NR
138.600	0.350	Objects	hzvk	2	NR	NR
139.600	0.350	Objects	ldbh	2	NR	NR
140.600	0.350	Objects	ndvvm	2	NR	NR
141.600	0.350	Objects	pxgs	2	NR	NR
142.600	0.350	Objects	gfdqs	2	34	818
143.700	0.350	Objects	hhxrp	2	NR	NR
144.700	0.350	Objects	qvckz	2	NR	NR
145.700	0.350	Objects	sgdbf	2	NR	NR
146.700	0.350	Objects	hcqv	2	NR	NR
147.700	0.350	Objects	hcqv	2	34	620
148.700	0.350	Objects	xlsjx	2	NR	NR
149.700	0.350	Objects	xjwqb	2	34	753
165.000	0.350	Consonant strings	scram_33	4	NR	NR
