onset	duration	trial_type	0	1	2	3
0.000	0.350	Objects	cjdh	2	NR	NR
1.000	0.350	Objects	hdrg	2	NR	NR
2.000	0.350	Objects	hdrg	2	28	663
3.100	0.350	Objects	tgdjz	2	NR	NR
4.100	0.350	Objects	bzcrn	2	NR	NR
5.100	0.350	Objects	gjss	2	NR	NR
6.100	0.350	Objects	nsxrr	2	NR	NR
7.100	0.350	Objects	jdjrq	2	NR	NR
8.200	0.350	Objects	jdjrq	2	28	592
9.200	0.350	Objects	gxkz	2	NR	NR
10.200	0.350	Objects	vhjb	2	NR	NR
11.200	0.350	Objects	dclm	2	NR	NR
12.200	0.350	Objects	bfzqz	2	NR	NR
13.200	0.350	Objects	dbwq	2	NR	NR
14.300	0.350	Objects	cjczd	2	NR	NR
15.300	0.350	Objects	tlqv	2	NR	NR
16.300	0.350	Consonant strings	scram_1	4	NR	NR
17.400	0.350	Consonant strings	scram_2	4	NR	NR
18.400	0.350	Consonant strings	scram_2	4	28	781
19.400	0.350	Consonant strings	scram_4	4	NR	NR
20.500	0.350	Consonant strings	scram_5	4	NR	NR
21.500	0.350	Consonant strings	scram_6	4	NR	NR
22.600	0.350	Consonant strings	scram_7	4	NR	NR
23.600	0.350	Consonant strings	scram_8	4	NR	NR
24.600	0.350	Consonant strings	scram_9	4	NR	NR
25.700	0.350	Consonant strings	scram_10	4	NR	NR
26.700	0.350	Consonant strings	scram_10	4	28	658
27.700	0.350	Consonant strings	scram_12	4	NR	NR
28.800	0.350	Consonant strings	scram_13	4	NR	NR
29.800	0.350	Consonant strings	scram_14	4	NR	NR
30.800	0.350	Consonant strings	scram_15	4	NR	NR
31.900	0.350	Consonant strings	scram_16	4	NR	NR
33.000	0.350	Scrambled objects	goat	3	NR	NR
34.000	0.350	Scrambled objects	goat	3	28	691
35.100	0.350	Scrambled objects	camera	3	NR	NR
36.300	0.350	Scrambled objects	wheel	3	NR	NR
37.400	0.350	Scrambled objects	camel	3	NR	NR
38.500	0.350	Scrambled objects	donkey	3	NR	NR
39.600	0.350	Scrambled objects	candle	3	NR	NR
40.700	0.350	Scrambled objects	zip	3	NR	NR
41.800	0.350	Scrambled objects	stool	3	NR	NR
42.800	0.350	Scrambled objects	stool	3	28	642
43.900	0.350	Scrambled objects	ruler	3	NR	NR
45.100	0.350	Scrambled objects	wool	3	NR	NR
46.200	0.350	Scrambled objects	tap	3	NR	NR
47.300	0.350	Scrambled objects	mouse	3	NR	NR
48.400	0.350	Scrambled objects	tiger	3	NR	NR
49.500	0.350	Scrambled objects	belt	3	NR	NR
50.500	0.350	Words	claw	1	NR	NR
51.500	0.350	Words	hare	1	NR	NR
52.600	0.350	Words	hare	1	28	641
53.600	0.350	Words	spree	1	NR	NR
54.600	0.350	Words	scorn	1	NR	NR
55.600	0.350	Words	kite	1	NR	NR
56.600	0.350	Words	brute	1	NR	NR
57.600	0.350	Words	waltz	1	NR	NR
58.700	0.350	Words	waltz	1	28	670
59.700	0.350	Words	keel	1	NR	NR
60.700	0.350	Words	peck	1	NR	NR
61.700	0.350	Words	code	1	NR	NR
62.700	0.350	Words	ulcer	1	NR	NR
63.800	0.350	Words	babe	1	NR	NR
64.800	0.350	Words	haste	1	NR	NR
65.800	0.350	Words	yoke	1	NR	NR
81.100	0.350	Scrambled objects	parrot	3	NR	NR
82.200	0.350	Scrambled objects	dice	3	NR	NR
83.300	0.350	Scrambled objects	bib	3	NR	NR
84.500	0.350	Scrambled objects	drum	3	NR	NR
85.500	0.350	Scrambled objects	drum	3	28	619
86.700	0.350	Scrambled objects	peach	3	NR	NR
87.800	0.350	Scrambled objects	clock	3	NR	NR
88.900	0.350	Scrambled objects	car	3	NR	NR
90.000	0.350	Scrambled objects	pig	3	NR	NR
91.100	0.350	Scrambled objects	basin	3	NR	NR
92.300	0.350	Scrambled objects	saw	3	NR	NR
93.400	0.350	Scrambled objects	cow	3	NR	NR
94.400	0.350	Scrambled objects	cow	3	28	618
95.600	0.350	Scrambled objects	flower	3	NR	NR
96.700	0.350	Scrambled objects	key	3	NR	NR
97.800	0.350	Scrambled objects	ball	3	NR	NR
98.800	0.350	Objects	hndzg	2	NR	NR
99.900	0.350	Objects	wkmmz	2	NR	NR
100.900	0.350	Objects	kksl	2	NR	NR
101.900	0.350	Objects	bcrf	2	NR	NR
102.900	0.350	Objects	qwmfm	2	NR	NR
103.900	0.350	Objects	xrvz	2	NR	NR
105.000	0.350	Objects	xrvz	2	28	632
106.000	0.350	Objects	zbrhx	2	NR	NR
107.000	0.350	Objects	xhqb	2	NR	NR
108.000	0.350	Objects	xhqb	2	28	725
109.000	0.350	Objects	dhhhh	2	NR	NR
110.000	0.350	Objects	sxjxn	2	NR	NR
111.100	0.350	Objects	jkcwt	2	NR	NR
112.100	0.350	Objects	vmxhv	2	NR	NR
113.100	0.350	Objects	tvgvn	2	NR	NR
114.100	0.350	Objects	hcbd	2	NR	NR
115.100	0.350	Words	feast	1	NR	NR
116.200	0.350	Words	baron	1	NR	NR
117.200	0.350	Words	watt	1	NR	NR
118.200	0.350	Words	gilt	1	NR	NR
119.200	0.350	Words	graft	1	NR	NR
120.200	0.350	Words	haul	1	NR	NR
121.300	0.350	Words	haul	1	28	645
122.300	0.350	Words	harem	1	NR	NR
123.300	0.350	Words	hump	1	NR	NR
124.300	0.350	Words	hump	1	28	744
125.300	0.350	Words	olive	1	NR	NR
126.400	0.350	Words	token	1	NR	NR
127.400	0.350	Words	burro	1	NR	NR
128.400	0.350	Words	lunge	1	NR	NR
129.400	0.350	Words	cargo	1	NR	NR
130.400	0.350	Words	loop	1	NR	NR
131.500	0.350	Consonant strings	scram_17	4	NR	NR
132.500	0.350	Consonant strings	scram_18	4	NR	NR
133.600	0.350	Consonant strings	scram_19	4	NR	NR
134.600	0.350	Consonant strings	scram_20	4	NR	NR
135.600	0.350	Consonant strings	scram_20	4	28	700
136.700	0.350	Consonant strings	scram_22	4	NR	NR
137.700	0.350	Consonant strings	scram_23	4	NR	NR
138.700	0.350	Consonant strings	scram_24	4	NR	NR
139.800	0.350	Consonant strings	scram_25	4	NR	NR
140.800	0.350	Consonant strings	scram_26	4	NR	NR
141.800	0.350	Consonant strings	scram_27	4	NR	NR
142.900	0.350	Consonant strings	scram_28	4	NR	NR
143.900	0.350	Consonant strings	scram_29	4	NR	NR
145.000	0.350	Consonant strings	scram_29	4	NR	NR
146.000	0.350	Consonant strings	scram_31	4	NR	NR
147.000	0.350	Consonant strings	scram_32	4	NR	NR
165.000	0.350	Consonant strings	scram_33	4	NR	NR
166.100	0.350	Consonant strings	scram_34	4	NR	NR
167.100	0.350	Consonant strings	scram_35	4	NR	NR
168.100	0.350	Consonant strings	scram_36	4	NR	NR
169.200	0.350	Consonant strings	scram_37	4	NR	NR
170.200	0.350	Consonant strings	scram_38	4	NR	NR
171.200	0.350	Consonant strings	scram_38	4	28	602
172.300	0.350	Consonant strings	scram_40	4	NR	NR
173.300	0.350	Consonant strings	scram_41	4	NR	NR
174.300	0.350	Consonant strings	scram_42	4	NR	NR
175.400	0.350	Consonant strings	scram_43	4	NR	NR
176.400	0.350	Consonant strings	scram_44	4	NR	NR
177.500	0.350	Consonant strings	scram_44	4	28	694
178.500	0.350	Consonant strings	scram_46	4	NR	NR
179.500	0.350	Consonant strings	scram_47	4	NR	NR
180.600	0.350	Consonant strings	scram_48	4	NR	NR
181.600	0.350	Objects	pjbnw	2	NR	NR
182.600	0.350	Objects	gvmh	2	NR	NR
183.600	0.350	Objects	thgj	2	NR	NR
184.600	0.350	Objects	jxlgl	2	NR	NR
185.700	0.350	Objects	jxlgl	2	28	577
186.700	0.350	Objects	qtfkb	2	NR	NR
187.700	0.350	Objects	tvpr	2	NR	NR
188.700	0.350	Objects	mhbpc	2	NR	NR
189.700	0.350	Objects	kxdkr	2	NR	NR
190.800	0.350	Objects	cmqjj	2	NR	NR
191.800	0.350	Objects	hdlmk	2	NR	NR
192.800	0.350	Objects	phrxq	2	NR	NR
193.800	0.350	Objects	kpbq	2	NR	NR
194.800	0.350	Objects	nrlr	2	NR	NR
195.900	0.350	Objects	rtlg	2	NR	NR
196.900	0.350	Objects	rtlg	2	28	593
197.900	0.350	Words	gable	1	NR	NR
198.900	0.350	Words	disc	1	NR	NR
199.900	0.350	Words	roar	1	NR	NR
201.000	0.350	Words	giant	1	NR	NR
202.000	0.350	Words	giant	1	28	815
203.000	0.350	Words	oxide	1	NR	NR
204.000	0.350	Words	pare	1	NR	NR
205.000	0.350	Words	plumb	1	NR	NR
206.100	0.350	Words	clang	1	NR	NR
207.100	0.350	Words	fleet	1	NR	NR
208.100	0.350	Words	delta	1	NR	NR
209.100	0.350	Words	badge	1	NR	NR
210.100	0.350	Words	loot	1	NR	NR
211.200	0.350	Words	lily	1	NR	NR
212.200	0.350	Words	crew	1	NR	NR
213.200	0.350	Words	crew	1	28	568
214.300	0.350	Scrambled objects	truck	3	NR	NR
215.400	0.350	Scrambled objects	boot	3	NR	NR
216.500	0.350	Scrambled objects	sofa	3	NR	NR
217.500	0.350	Scrambled objects	sofa	3	28	671
218.600	0.350	Scrambled objects	torch	3	NR	NR
219.800	0.350	Scrambled objects	sword	3	NR	NR
220.900	0.350	Scrambled objects	whale	3	NR	NR
222.000	0.350	Scrambled objects	pram	3	NR	NR
223.000	0.350	Scrambled objects	snake	3	NR	NR
224.200	0.350	Scrambled objects	apple	3	NR	NR
225.200	0.350	Scrambled objects	apple	3	28	520
226.300	0.350	Scrambled objects	lion	3	NR	NR
227.500	0.350	Scrambled objects	train	3	NR	NR
228.600	0.350	Scrambled objects	hammer	3	NR	NR
229.600	0.350	Scrambled objects	guitar	3	NR	NR
230.800	0.350	Scrambled objects	vase	3	NR	NR
246.000	0.350	Objects	fmrpj	2	NR	NR
247.000	0.350	Objects	lczj	2	NR	NR
248.000	0.350	Objects	xjbq	2	NR	NR
249.000	0.350	Objects	wdfgs	2	NR	NR
250.000	0.350	Objects	pdps	2	NR	NR
251.100	0.350	Objects	pdps	2	28	559
252.100	0.350	Objects	hbtnm	2	NR	NR
253.100	0.350	Objects	kgfzt	2	NR	NR
254.100	0.350	Objects	cxpnp	2	NR	NR
255.100	0.350	Objects	kmssf	2	NR	NR
