onset	duration	circle_duration	stim_type	trigger	button_pushed	response_time	stim_file
4.000	.897	.526	UNFAMILIAR	13	7	.816	func/u077.bmp
7.158	.828	.480	FAMOUS	5	7	.727	func/f080.bmp
10.314	.888	.459	FAMOUS	6	7	.599	func/f080.bmp
13.421	.916	.415	SCRAMBLED	17	7	.773	func/s074.bmp
16.645	.968	.535	SCRAMBLED	18	4	.712	func/s074.bmp
19.902	.843	.532	SCRAMBLED	17	7	.752	func/s069.bmp
23.076	.826	.557	UNFAMILIAR	13	4	.735	func/u079.bmp
26.099	.804	.425	UNFAMILIAR	13	4	.786	func/u068.bmp
29.190	.928	.517	UNFAMILIAR	14	4	.628	func/u068.bmp
32.447	.804	.561	UNFAMILIAR	15	4	.786	func/u077.bmp
35.002	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
55.481	.849	.405	FAMOUS	5	7	.724	func/f074.bmp
58.588	.944	.485	FAMOUS	6	7	.530	func/f074.bmp
61.728	.995	.431	FAMOUS	5	4	.682	func/f065.bmp
64.935	.967	.428	FAMOUS	5	7	.621	func/f071.bmp
68.259	.957	.600	SCRAMBLED	19	7	.803	func/s069.bmp
71.466	.969	.482	FAMOUS	5	4	.742	func/f081.bmp
74.740	.949	.543	FAMOUS	6	7	.940	func/f081.bmp
77.914	.861	.466	UNFAMILIAR	15	4	.765	func/u079.bmp
81.121	.887	.569	UNFAMILIAR	13	4	.677	func/u073.bmp
84.228	.842	.439	UNFAMILIAR	14	4	.657	func/u073.bmp
87.385	.884	.537	FAMOUS	5	7	.681	func/f073.bmp
90.525	.887	.490	SCRAMBLED	17	7	.787	func/s078.bmp
93.599	.944	.403	SCRAMBLED	18	4	.772	func/s078.bmp
96.772	.832	.462	FAMOUS	7	4	.736	func/f065.bmp
99.963	.942	.557	SCRAMBLED	17	7	.888	func/s072.bmp
103.237	.981	.560	SCRAMBLED	18	7	.691	func/s072.bmp
106.494	.807	.512	FAMOUS	7	7	.630	func/f071.bmp
109.517	.851	.420	UNFAMILIAR	13	4	.731	func/u075.bmp
112.541	.855	.405	UNFAMILIAR	13	7	.760	func/u065.bmp
115.146	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
135.775	.915	.589	UNFAMILIAR	13	7	.851	func/u071.bmp
138.949	.811	.496	FAMOUS	7	4	.709	func/f073.bmp
141.956	.917	.419	UNFAMILIAR	13	4	1.024	func/u078.bmp
145.096	.864	.455	FAMOUS	5	7	.727	func/f072.bmp
148.169	.896	.438	SCRAMBLED	17	7	.734	func/s081.bmp
151.276	.857	.437	SCRAMBLED	18	7	.462	func/s081.bmp
154.483	.872	.576	UNFAMILIAR	15	7	.819	func/u075.bmp
157.707	.803	.575	UNFAMILIAR	13	4	.692	func/u069.bmp
160.781	.964	.499	UNFAMILIAR	15	7	.611	func/u065.bmp
163.954	.828	.435	FAMOUS	5	4	.821	func/f067.bmp
167.095	.927	.547	UNFAMILIAR	15	7	.521	func/u071.bmp
170.335	.841	.547	UNFAMILIAR	13	4	.708	func/u067.bmp
173.358	.989	.415	UNFAMILIAR	14	7	.885	func/u067.bmp
176.699	.856	.584	UNFAMILIAR	15	4	.822	func/u078.bmp
179.773	.818	.430	UNFAMILIAR	13	7	.809	func/u066.bmp
182.913	.943	.563	UNFAMILIAR	14	7	.816	func/u066.bmp
186.103	.970	.472	FAMOUS	7	7	.569	func/f072.bmp
189.260	.857	.414	SCRAMBLED	17	4	.931	func/s075.bmp
192.300	.886	.407	SCRAMBLED	18	7	.816	func/s075.bmp
194.923	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
215.368	.982	.403	UNFAMILIAR	13	4	1.022	func/u074.bmp
218.525	.974	.408	UNFAMILIAR	14	4	.587	func/u074.bmp
221.832	.968	.566	UNFAMILIAR	15	4	.732	func/u069.bmp
225.140	.814	.581	SCRAMBLED	17	7	.698	func/s079.bmp
228.146	.813	.427	SCRAMBLED	18	7	.659	func/s079.bmp
231.137	.982	.417	FAMOUS	7	4	.626	func/f067.bmp
234.510	.930	.560	FAMOUS	5	7	.717	func/f077.bmp
237.801	.868	.596	FAMOUS	6	4	.657	func/f077.bmp
240.924	.802	.478	FAMOUS	5	7	.735	func/f069.bmp
244.081	.851	.595	FAMOUS	6	7	.506	func/f069.bmp
247.188	.968	.497	FAMOUS	5	4	.823	func/f079.bmp
250.412	.989	.489	SCRAMBLED	17	7	.543	func/s065.bmp
253.686	.894	.508	FAMOUS	5	7	.730	func/f075.bmp
256.927	.810	.570	FAMOUS	5	4	.785	func/f070.bmp
260.084	.904	.577	UNFAMILIAR	13	4	.785	func/u080.bmp
263.307	.807	.541	UNFAMILIAR	14	4	.665	func/u080.bmp
266.381	.849	.496	FAMOUS	5	7	.627	func/f066.bmp
269.488	.856	.490	FAMOUS	7	4	.643	func/f079.bmp
272.093	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
292.622	.840	.492	SCRAMBLED	17	7	.668	func/s073.bmp
295.746	.908	.507	SCRAMBLED	18	7	.517	func/s073.bmp
298.986	.912	.560	SCRAMBLED	19	7	.385	func/s065.bmp
302.260	.806	.566	SCRAMBLED	17	7	.724	func/s071.bmp
305.400	.911	.555	FAMOUS	7	7	.688	func/f075.bmp
308.507	.842	.419	FAMOUS	5	4	.829	func/f078.bmp
311.631	.815	.517	FAMOUS	6	7	.635	func/f078.bmp
314.671	.850	.463	FAMOUS	7	4	.635	func/f070.bmp
317.761	.861	.447	FAMOUS	5	4	.631	func/f068.bmp
320.851	.958	.459	FAMOUS	6	4	.579	func/f068.bmp
324.108	.940	.532	SCRAMBLED	17	7	.634	func/s066.bmp
327.349	.957	.525	SCRAMBLED	18	4	.658	func/s066.bmp
330.523	.894	.445	FAMOUS	7	7	.661	func/f066.bmp
333.630	.864	.437	SCRAMBLED	17	7	.703	func/s080.bmp
336.703	.956	.440	SCRAMBLED	18	7	.527	func/s080.bmp
339.960	.843	.530	SCRAMBLED	17	7	.582	func/s067.bmp
343.050	.899	.470	SCRAMBLED	19	4	.499	func/s071.bmp
346.207	.939	.493	SCRAMBLED	17	4	.918	func/s070.bmp
349.414	.888	.497	UNFAMILIAR	13	4	.751	func/u072.bmp
352.538	.987	.464	SCRAMBLED	17	7	.673	func/s068.bmp
355.277	20.000	20.000	n/a	999	20000	20.000	func/i999.bmp
375.856	.888	.547	UNFAMILIAR	13	4	.708	func/u070.bmp
379.113	.803	.591	UNFAMILIAR	14	7	.553	func/u070.bmp
382.120	.945	.448	SCRAMBLED	17	4	.808	func/s077.bmp
385.311	.941	.479	SCRAMBLED	19	4	.750	func/s067.bmp
388.551	.958	.527	UNFAMILIAR	13	4	.675	func/u081.bmp
391.691	.903	.410	UNFAMILIAR	14	7	.832	func/u081.bmp
394.898	.879	.549	SCRAMBLED	19	4	1.024	func/s070.bmp
397.571	.012	0	n/a	999	0	0	func/Circle.bmp
