onset	duration	trial_type	response_time	sample	value
30.9023437500	n/a	stimulus	n/a	7911	128
33.8671875000	n/a	response	n/a	8670	2
38.6601562500	n/a	response	n/a	9897	4
95.9492187500	n/a	stimulus	n/a	24563	128
100.7656250000	n/a	response	n/a	25796	8
163.9687500000	n/a	stimulus	n/a	41976	128
166.6523437500	n/a	response	n/a	42663	2
168.8046875000	n/a	response	n/a	43214	4
304.0546875000	n/a	stimulus	n/a	77838	128
307.3632812500	n/a	response	n/a	78685	2
309.5859375000	n/a	response	n/a	79254	2
338.5273437500	n/a	stimulus	n/a	86663	128
341.5507812500	n/a	response	n/a	87437	4
343.6992187500	n/a	response	n/a	87987	2
345.8593750000	n/a	response	n/a	88540	2
507.8710937500	n/a	stimulus	n/a	130015	128
510.4765625000	n/a	response	n/a	130682	8
620.0742187500	n/a	stimulus	n/a	158739	128
622.8164062500	n/a	response	n/a	159441	2
624.9531250000	n/a	response	n/a	159988	4
751.1640625000	n/a	stimulus	n/a	192298	128
753.7851562500	n/a	response	n/a	192969	4
756.3789062500	n/a	response	n/a	193633	2
870.5703125000	n/a	stimulus	n/a	222866	128
873.2031250000	n/a	response	n/a	223540	2
875.3398437500	n/a	response	n/a	224087	4
