	onset	duration	trial_type	congruent_incorrect	incongruent_incorrect	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0	0.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	754	n/a
1	2.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	441	n/a
2	10.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	701	n/a
3	12.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	469	n/a
4	15.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	499	n/a
5	17.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	467	n/a
6	25.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	823	n/a
7	27.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	374	n/a
8	30.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	502	n/a
9	32.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	428	n/a
10	35.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	499	n/a
11	37.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	474	n/a
12	40.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	577	n/a
13	42.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	615	n/a
14	45.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	422	n/a
15	47.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	445	n/a
16	50.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	468	n/a
17	52.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	578	n/a
18	60.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	871	n/a
19	62.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	383	n/a
20	65.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	485	n/a
21	67.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	516	n/a
22	75.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	520	n/a
23	77.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	464	n/a
24	80.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	438	n/a
25	82.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	678	n/a
26	85.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	468	n/a
27	87.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	435	n/a
28	90.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	458	n/a
29	92.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	529	n/a
30	95.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	527	n/a
31	97.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	558	n/a
32	100.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	477	n/a
33	102.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	500	n/a
34	105.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	499	n/a
35	107.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	489	n/a
36	110.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	465	n/a
37	112.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	487	n/a
38	120.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	692	n/a
39	122.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	331	n/a
40	125.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	346	n/a
41	127.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	520	n/a
42	130.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	416	n/a
43	132.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	518	n/a
44	135.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	389	n/a
45	137.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	484	n/a
46	140.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	459	n/a
47	142.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	506	n/a
48	150.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	678	n/a
49	152.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	398	n/a
50	155.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	516	n/a
51	157.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	387	n/a
52	160.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	393	n/a
53	162.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	465	n/a
54	165.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	415	n/a
55	167.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	398	n/a
56	170.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	478	n/a
57	172.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	412	n/a
58	175.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	507	n/a
59	177.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	361	n/a
60	185.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	702	n/a
61	187.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	397	n/a
62	190.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	356	n/a
63	192.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	467	n/a
64	195.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	514	n/a
65	197.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	353	n/a
66	200.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	471	n/a
67	202.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	383	n/a
68	210.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	587	n/a
69	212.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	419	n/a
70	215.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	449	n/a
71	217.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	384	n/a
72	225.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	692	n/a
73	227.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	348	n/a
74	230.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	394	n/a
75	232.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	425	n/a
76	235.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	505	n/a
77	237.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	367	n/a
78	240.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	542	n/a
79	242.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	420	n/a
80	245.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	460	n/a
81	247.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	386	n/a
82	250.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	401	n/a
83	252.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	416	n/a
84	260.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	565	n/a
85	262.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	419	n/a
86	270.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	512	n/a
87	272.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	384	n/a
88	275.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	750	n/a
89	277.5	1.0	congruent_correct	n/a	n/a	1	1	congruent	406	n/a
90	285.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	634	n/a
91	287.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	489	n/a
92	290.0	1.0	congruent_correct	n/a	n/a	1	1	congruent	840	n/a
93	292.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	487	n/a
94	295.0	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	533	n/a
95	297.5	1.0	incongruent_correct	n/a	n/a	1	2	incongruent	581	n/a
