onset	duration	ISI	trial_type	trial_name	stim_file	sample
3	0.5	0	132	LETTERS	stim_132_LETTERS_03.png	1536
4.4336	0.5	0	131	FACES	stim_131_FACES_05.png	2270
5.7676	0.5	0	132	LETTERS	stim_132_LETTERS_10.png	2953
7.0508	0.5	0	131	FACES	stim_131_FACES_08.png	3610
8.6836	0.5	0	132	LETTERS	stim_132_LETTERS_12.png	4446
10.0352	0.5	0	132	LETTERS	stim_132_LETTERS_11.png	5138
11.7344	0.5	0	131	FACES	stim_131_FACES_10.png	6008
13.1016	0.5	0	131	FACES	stim_131_FACES_01.png	6708
14.5684	0.5	0	132	LETTERS	stim_132_LETTERS_08.png	7459
16.0684	0.5	0	131	FACES	stim_131_FACES_03.png	8227
17.8027	0.5	0	131	FACES	stim_131_FACES_11.png	9115
19.4531	0.5	0	133	HOUSES	stim_133_HOUSES_05.png	9960
21.1855	0.5	0	133	HOUSES	stim_133_HOUSES_01.png	10847
22.7031	0.5	0	133	HOUSES	stim_133_HOUSES_08.png	11624
24.2207	0.5	0	133	HOUSES	stim_133_HOUSES_09.png	12401
25.5195	0.5	0	133	HOUSES	stim_133_HOUSES_03.png	13066
27.2695	0.5	0	132	LETTERS	stim_132_LETTERS_06.png	13962
28.6211	0.5	0	132	LETTERS	stim_132_LETTERS_04.png	14654
30.0039	0.5	0	131	FACES	stim_131_FACES_04.png	15362
31.4531	0.5	0	132	LETTERS	stim_132_LETTERS_05.png	16104
32.7051	0.5	0	131	FACES	stim_131_FACES_12.png	16745
34.1387	0.5	0	133	HOUSES	stim_133_HOUSES_11.png	17479
35.7539	0.5	0	133	HOUSES	stim_133_HOUSES_02.png	18306
37.3047	0.5	0	133	HOUSES	stim_133_HOUSES_07.png	19100
38.8711	0.5	0	133	HOUSES	stim_133_HOUSES_06.png	19902
40.4727	0.5	0	131	FACES	stim_131_FACES_02.png	20722
42.0723	0.5	0	132	LETTERS	stim_132_LETTERS_09.png	21541
43.4551	0.5	0	132	LETTERS	stim_132_LETTERS_07.png	22249
44.7734	0.5	0	133	HOUSES	stim_133_HOUSES_04.png	22924
46.1895	0.5	0	132	LETTERS	stim_132_LETTERS_02.png	23649
47.4395	0.5	0	131	FACES	stim_131_FACES_07.png	24289
49.1406	0.5	0	131	FACES	stim_131_FACES_06.png	25160
50.6406	0.5	0	132	LETTERS	stim_132_LETTERS_01.png	25928
52.2734	0.5	0	133	HOUSES	stim_133_HOUSES_12.png	26764
53.8242	0.5	0	131	FACES	stim_131_FACES_09.png	27558
55.5078	0.5	0	133	HOUSES	stim_133_HOUSES_10.png	28420
