onset	duration	trial_type	feedback	TrialNum	StimCond	StimulusNum	Response	RT	Correct	Feedback
0.194	2.0	feedback	-1.28	1	2	5	L	1.386	0	R
4.611	2.0	feedback	-1.28	2	2	7	R	1.4	0	L
9.111	2.0	feedback	-1.28	3	2	8	L	1.589	0	R
13.5835	2.0	feedback	-1.28	4	2	1	R	0.896	0	L
18.121	2.0	feedback	0.72	5	2	8	R	0.673	1	R
22.684	n/a	n/a	n/a	6	2	0	R	0.891	-	-
27.162	n/a	n/a	n/a	7	2	0	R	0.87	-	-
31.673	n/a	n/a	n/a	8	2	0	R	0.367	-	-
36.0845	2.0	feedback	-1.28	9	2	2	L	0.939	0	R
40.6145	2.0	feedback	-1.28	10	2	10	R	1.628	0	L
45.0835	2.0	feedback	-1.28	11	2	3	L	1.334	0	R
49.591	2.0	feedback	0.72	12	2	3	R	0.699	1	R
54.114	2.0	feedback	0.72	13	2	7	L	0.809	1	L
58.685	n/a	n/a	n/a	14	2	0	R	0.773	-	-
63.17	n/a	n/a	n/a	15	2	0	R	0.687	-	-
67.671	n/a	n/a	n/a	16	2	0	R	0.459	-	-
72.186	2.0	feedback	0.72	17	2	13	L	1.102	1	L
76.5825	2.0	feedback	0.72	18	2	4	L	0.821	1	L
81.1205	2.0	feedback	-1.28	19	2	9	L	1.101	0	R
85.586	2.0	feedback	0.72	20	2	3	R	1.229	1	R
90.195	2.0	feedback	0.72	21	2	13	L	0.997	1	L
94.674	n/a	n/a	n/a	22	2	0	R	0.681	-	-
99.169	n/a	n/a	n/a	23	2	0	R	0.362	-	-
103.67	n/a	n/a	n/a	24	2	0	R	0.589	-	-
108.1855	2.0	feedback	0.72	25	2	13	L	1.232	1	L
112.6115	2.0	feedback	0.72	26	2	8	R	1.109	1	R
117.1815	2.0	feedback	0.72	27	2	11	R	1.032	1	R
121.6105	2.0	feedback	-1.28	28	2	6	R	1.327	0	L
126.1115	2.0	feedback	0.72	29	2	9	R	1.242	1	R
130.665	n/a	n/a	n/a	30	2	0	R	1.036	-	-
135.17	n/a	n/a	n/a	31	2	0	R	0.554	-	-
139.667	n/a	n/a	n/a	32	2	0	R	0.778	-	-
144.1855	2.0	feedback	0.72	33	2	12	R	1.546	1	R
148.682	2.0	feedback	0.72	34	2	13	L	1.101	1	L
153.109	2.0	feedback	0.72	35	2	9	R	0.88	1	R
157.685	2.0	feedback	0.72	36	2	11	R	1.48	1	R
162.1855	2.0	feedback	0.72	37	2	14	R	1.683	1	R
166.67	n/a	n/a	n/a	38	2	0	R	0.785	-	-
171.171	n/a	n/a	n/a	39	2	0	R	0.828	-	-
175.67	n/a	n/a	n/a	40	2	0	R	0.649	-	-
180.1855	2.0	feedback	0.72	41	2	11	R	0.86	1	R
184.582	2.0	feedback	0.72	42	2	1	L	1.067	1	L
189.0825	2.0	feedback	0.72	43	2	4	L	0.913	1	L
193.6095	2.0	feedback	-1.28	44	2	6	R	0.9	0	L
198.1075	2.0	feedback	0.72	45	2	7	L	1.157	1	L
202.683	n/a	n/a	n/a	46	2	0	R	0.725	-	-
207.169	n/a	n/a	n/a	47	2	0	R	0.567	-	-
211.67	n/a	n/a	n/a	48	2	0	R	0.834	-	-
216.084	2.0	feedback	-1.28	49	2	2	L	1.938	0	R
220.682	2.0	feedback	0.72	50	2	12	R	0.769	1	R
225.0865	2.0	feedback	0.72	51	2	4	L	1.072	1	L
229.5885	2.0	feedback	0.72	52	2	2	R	0.776	1	R
234.087	2.0	feedback	0.72	53	2	4	L	0.967	1	L
238.677	n/a	n/a	n/a	54	2	0	R	0.7	-	-
243.173	n/a	n/a	n/a	55	2	0	R	0.485	-	-
247.668	n/a	n/a	n/a	56	2	0	R	0.638	-	-
252.186	2.0	feedback	-1.28	57	2	12	L	1.006	0	R
256.5865	2.0	feedback	0.72	58	2	3	R	0.853	1	R
261.1085	2.0	feedback	-1.28	59	2	5	L	0.79	0	R
265.6115	2.0	feedback	-1.28	60	2	10	R	0.86	0	L
270.186	2.0	feedback	0.72	61	2	13	L	1.247	1	L
274.67	n/a	n/a	n/a	62	2	0	R	0.726	-	-
279.17	n/a	n/a	n/a	63	2	0	R	0.682	-	-
283.669	n/a	n/a	n/a	64	2	0	R	0.358	-	-
288.111	2.0	feedback	-1.28	65	2	10	R	1.73	0	L
292.6085	2.0	feedback	-1.28	66	2	5	L	1.491	0	R
297.185	2.0	feedback	0.72	67	2	12	R	1.535	1	R
301.611	2.0	feedback	0.72	68	2	7	L	1.007	1	L
306.1115	2.0	feedback	-1.28	69	2	5	L	1.626	0	R
310.67	n/a	n/a	n/a	70	2	0	R	0.807	-	-
315.169	n/a	n/a	n/a	71	2	0	R	0.548	-	-
319.674	n/a	n/a	n/a	72	2	0	R	0.619	-	-
324.0835	2.0	feedback	0.72	73	2	2	R	1.516	1	R
328.621	2.0	feedback	0.72	74	2	7	L	1.18	1	L
333.086	2.0	feedback	0.72	75	2	2	R	0.822	1	R
337.691	2.0	feedback	-1.28	76	2	12	L	1.3	0	R
342.0865	2.0	feedback	0.72	77	2	4	L	1.165	1	L
346.692	n/a	n/a	n/a	78	2	0	R	0.635	-	-
351.169	n/a	n/a	n/a	79	2	0	R	0.717	-	-
355.673	n/a	n/a	n/a	80	2	0	R	0.702	-	-
