onset	duration	trial_type	TrialNum	StimCond	StimulusNum	Response	RT	Correct
0.119	2	classification-probabilistic	1	1	10	R	1.713	0
5.316	2	classification-probabilistic	3	1	3	L	0.99	1
10.284	2	classification-deterministic	5	2	10	R	1.505	0
15.0985	2	classification-probabilistic	7	1	11	R	1.443	1
19.1065	2	classification-probabilistic	9	1	10	L	1.212	1
22.312	2	classification-probabilistic	11	1	3	L	0.848	1
26.803	2	classification-probabilistic	13	1	14	R	1.334	1
29.823	2	classification-probabilistic	15	1	2	R	0.991	1
36.284	2	classification-deterministic	17	2	10	L	2.129	1
41.3125	2	classification-deterministic	19	2	11	R	2.32	1
44.883	2	classification-deterministic	21	2	10	R	1.195	0
49.6035	2	classification-probabilistic	23	1	10	L	1.519	1
54.786	2	classification-probabilistic	25	1	10	R	1.37	0
58.197	2	classification-deterministic	27	2	2	L	1.068	0
63.523	2	classification-deterministic	29	2	13	L	1.745	1
66.584	2	classification-deterministic	31	2	2	R	1.95	1
70.013	2	classification-probabilistic	33	1	10	R	2.132	0
75.9835	2	classification-probabilistic	35	1	3	L	0.672	1
81.621	2	classification-deterministic	37	2	5	L	1.516	0
85.3085	2	classification-probabilistic	39	1	4	R	0.722	0
89.698	2	classification-probabilistic	41	1	4	R	1.329	0
95.903	2	classification-probabilistic	43	1	5	R	1.214	1
99.2195	2	classification-probabilistic	45	1	6	L	1.481	1
105.589	2	classification-deterministic	47	2	1	L	1.367	1
112.817	2	classification-probabilistic	49	1	14	R	1.294	1
116.42	2	classification-probabilistic	51	1	3	L	1.032	1
121.206	2	classification-probabilistic	53	1	11	R	1.309	1
126.282	2	classification-probabilistic	55	1	7	R	0.833	0
132.481	2	classification-deterministic	57	2	13	L	1.756	1
136.7235	2	classification-deterministic	59	2	10	L	1.55	1
141.5845	2	classification-deterministic	61	2	2	R	0.956	1
144.696	2	classification-deterministic	63	2	1	R	0.614	0
151.093	2	classification-probabilistic	65	1	1	R	1.813	1
155.8165	2	classification-deterministic	67	2	3	R	1.209	1
162.317	2	classification-deterministic	69	2	3	R	0.741	1
166.022	2	classification-deterministic	71	2	11	L	1.747	0
168.9215	2	classification-deterministic	73	2	3	R	0.689	1
173.6825	2	classification-deterministic	75	2	13	R	1.402	0
177.8825	2	classification-probabilistic	77	1	6	L	1.107	1
183.401	2	classification-probabilistic	79	1	8	R	1.458	1
186.778	2	classification-probabilistic	81	1	8	R	0.92	1
191.8875	2	classification-deterministic	83	2	9	L	2.489	0
195.7935	2	classification-deterministic	85	2	13	R	1.522	0
202.1805	2	classification-probabilistic	87	1	5	R	1.636	1
205.6965	2	classification-deterministic	89	2	3	R	1.08	1
212.2835	2	classification-deterministic	91	2	7	L	1.634	1
215.7195	2	classification-deterministic	93	2	6	R	1.274	0
220.116	2	classification-probabilistic	95	1	5	R	1.969	1
225.3835	2	classification-deterministic	97	2	5	L	1.214	0
229.2205	2	classification-deterministic	99	2	7	R	0.741	0
235.576	2	classification-deterministic	101	2	11	R	0.942	1
241.697	2	classification-deterministic	103	2	12	L	1.289	0
245.687	2	classification-probabilistic	105	1	11	R	1.829	1
249.086	2	classification-probabilistic	107	1	4	R	0.935	0
256.506	2	classification-deterministic	109	2	8	R	1.047	1
259.587	2	classification-deterministic	111	2	1	L	0.954	1
262.6075	2	classification-deterministic	113	2	6	L	2.265	1
265.818	2	classification-deterministic	115	2	2	R	0.676	1
272.4815	2	classification-probabilistic	117	1	3	L	1.889	1
275.915	2	classification-probabilistic	119	1	11	R	1.394	1
279.5225	2	classification-probabilistic	121	1	13	R	0.736	0
287.0115	2	classification-probabilistic	123	1	6	R	1.289	0
291.195	2	classification-deterministic	125	2	4	L	1.105	1
294.52	2	classification-deterministic	127	2	13	L	1.413	1
297.421	2	classification-deterministic	129	2	3	R	0.695	1
300.4205	2	classification-deterministic	131	2	1	L	1.752	1
304.106	2	classification-probabilistic	133	1	10	R	2.334	0
307.706	2	classification-probabilistic	135	1	11	R	1.442	1
310.918	2	classification-probabilistic	137	1	11	R	1.706	1
314.0245	2	classification-probabilistic	139	1	14	R	2.201	1
319.1085	2	classification-deterministic	141	2	7	L	0.669	1
326.396	2	classification-probabilistic	143	1	10	R	1.066	0
329.421	2	classification-deterministic	145	2	3	R	0.729	1
334.7815	2	classification-deterministic	147	2	5	L	0.808	0
339.3935	2	classification-probabilistic	149	1	10	R	1.001	0
345.0985	2	classification-probabilistic	151	1	11	R	1.378	1
348.722	2	classification-probabilistic	153	1	10	R	1.459	0
351.9215	2	classification-deterministic	155	2	2	R	1.557	1
357.183	2	classification-deterministic	157	2	12	L	1.302	0
363.5	2	classification-probabilistic	159	1	5	R	0.969	1
368.61	2	classification-probabilistic	161	1	6	R	2.353	0
374.1145	2	classification-deterministic	163	2	6	L	2.329	1
379.3095	2	classification-deterministic	165	2	2	R	0.982	1
384.6115	2	classification-deterministic	167	2	10	R	1.495	0
390.1125	2	classification-probabilistic	169	1	5	R	1.104	1
393.1115	2	classification-probabilistic	171	1	9	R	0.867	0
396.5975	2	classification-probabilistic	173	1	14	R	1.484	1
400.381	2	classification-deterministic	175	2	7	L	0.892	1
404.6825	2	classification-deterministic	177	2	13	L	0.998	1
411.8225	2	classification-probabilistic	179	1	2	R	0.681	1
417.9825	2	classification-probabilistic	181	1	11	R	1.187	1
422.7025	2	classification-probabilistic	183	1	1	R	1.23	1
429.2025	2	classification-deterministic	185	2	1	L	0.835	1
434.899	2	classification-deterministic	187	2	10	R	0.774	0
438.6835	2	classification-probabilistic	189	1	12	L	1.277	-1
441.616	2	classification-probabilistic	191	1	8	R	0.748	1
446.8955	2	classification-probabilistic	193	1	10	R	1.421	0
451.51	2	classification-deterministic	195	2	7	L	0.808	1
456.2005	2	classification-deterministic	197	2	13	L	1.231	1
459.11	2	classification-deterministic	199	2	9	L	0.849	0
