onset	duration	trial_type
20.001	2	pseudoword
22.501	2	pseudoword
25.001	2	pseudoword
27.501	2	pseudoword
30.001	2	pseudoword
32.501	2	pseudoword
35.002	2	pseudoword
37.502	2	pseudoword
60.003	2	pseudoword
62.503	2	pseudoword
65.003	2	pseudoword
67.503	2	pseudoword
70.003	2	pseudoword
72.503	2	pseudoword
75.004	2	pseudoword
77.504	2	pseudoword
100.004	2	pseudoword
102.504	2	pseudoword
105.005	2	pseudoword
107.505	2	pseudoword
110.005	2	pseudoword
112.505	2	pseudoword
115.005	2	pseudoword
117.505	2	pseudoword
140.006	2	pseudoword
142.506	2	pseudoword
145.006	2	pseudoword
147.506	2	pseudoword
150.006	2	pseudoword
152.507	2	pseudoword
155.007	2	pseudoword
157.507	2	pseudoword
180.007	2	word
182.507	2	word
185.008	2	word
187.508	2	word
190.008	2	word
192.508	2	word
195.008	2	word
197.508	2	word
220.009	2	word
222.509	2	word
225.009	2	word
227.509	2	word
230.009	2	word
232.51	2	word
235.01	2	word
237.51	2	word
260.01	2	word
262.51	2	word
265.01	2	word
267.511	2	word
270.011	2	word
272.511	2	word
275.011	2	word
277.511	2	word
300.012	2	word
302.512	2	word
305.012	2	word
307.512	2	word
310.012	2	word
312.512	2	word
315.012	2	word
317.513	2	word
