onset	duration	sample	type	value
2.4929899084963	0	2494	Markers	BASE-START
119.490516308115	0	119492	Markers	BASE-END
190.719227977703	0	190721	Markers	WiimoteButtonTwo pressed
191.185226091365	0	191187	Markers	WiimoteButtonTwo released
210.411148265753	0	210413	Markers	WiimoteButtonB pressed
210.598147508789	0	210600	Markers	WiimoteButtonB released
240.290027317482	0	240292	Markers	WiimoteButtonB pressed
240.475026568614	0	240477	Markers	WiimoteButtonB released
243.165015679667	0	243167	Markers	WiimoteButtonB pressed
243.309015096765	0	243311	Markers	WiimoteButtonB released
287.400836615184	0	287403	Markers	START-walk , Sub-No.-64
287.421836530177	0	287424	Markers	Trial Start: No.0-angle:60-right-right-kongruent-yellow-FA:no
288.817830879259	0	288820	Markers	Stim-60-R-walk-056-yellow--1-kongruent
290.368824600911	0	290371	Markers	no-response
290.368824600911	0	290371	Markers	Reaction: incorrect
290.370824592815	0	290373	Markers	End-Trial-2.949
290.404824455185	0	290407	Markers	Trial Start: No.1-angle:40-right-right-kongruent-yellow-FA:no
291.764818949992	0	291767	Markers	Stim-NOTshown
292.285816841018	0	292288	Markers	Stim-NOTshown
292.805814736091	0	292808	Markers	Stim-NOTshown
293.325812631165	0	293328	Markers	Stim-NOTshown
293.848810514094	0	293851	Markers	Stim-40-R-walk-065-yellow-1-kongruent
294.337808534654	0	294340	Markers	WiimoteButtonB pressed
294.338808530606	0	294341	Markers	BUT-RIGHT-ButtonB-Press
294.600807470047	0	294603	Markers	WiimoteButtonB released
295.400804231698	0	295403	Markers	Reaction: 0.491-right-yellow-correct
295.40180422765	0	295404	Markers	End-Trial-4.997
295.43580409002	0	295438	Markers	Trial Start: No.2-angle:40-right-right-kongruent-blue-FA:no
296.797798576732	0	296800	Markers	Stim-40-R-walk-120-blue-1-kongruent
297.200796945414	0	297203	Markers	WiimoteButtonB pressed
297.200796945414	0	297203	Markers	BUT-RIGHT-ButtonB-Press
297.621795241233	0	297624	Markers	WiimoteButtonB released
297.733794787864	0	297736	Markers	WiimoteButtonB pressed
297.734794783816	0	297737	Markers	BUT-RIGHT-ButtonB-Press
297.97879379612	0	297981	Markers	WiimoteButtonB released
298.349792294336	0	298352	Markers	Reaction: 0.403-right-blue-correct
298.350792290288	0	298353	Markers	End-Trial-2.915
298.38579214861	0	298388	Markers	Trial Start: No.3-angle:60-left-left-kongruent-yellow-FA:no
299.731786700088	0	299734	Markers	Stim-60-L-walk-181-yellow-1-kongruent
300.223784708504	0	300226	Markers	WiimoteButtonB pressed
300.224784704456	0	300227	Markers	BUT-LEFT-ButtonB-Press
300.441783826054	0	300444	Markers	WiimoteButtonB released
301.283780417692	0	301286	Markers	Reaction: 0.493-left-yellow-correct
301.284780413644	0	301287	Markers	End-Trial-2.899
301.319780271967	0	301322	Markers	Trial Start: No.4-angle:40-left-left-kongruent-yellow-FA:no
302.681774758678	0	302684	Markers	Stim-40-L-walk-281-yellow-1-kongruent
303.163772807573	0	303166	Markers	WiimoteButtonB pressed
303.165772799477	0	303168	Markers	BUT-LEFT-ButtonB-Press
303.42877173487	0	303431	Markers	WiimoteButtonB released
304.233768476282	0	304236	Markers	Reaction: 0.483-left-yellow-correct
304.234768472234	0	304237	Markers	End-Trial-2.916
304.268768334604	0	304271	Markers	Trial Start: No.5-angle:40-left-left-kongruent-blue-FA:no
305.794762157454	0	305797	Markers	Stim-NOTshown
306.317760040384	0	306320	Markers	Stim-40-L-walk-263-blue--1-kongruent
306.792758117615	0	306795	Markers	WiimoteButtonB pressed
306.793758113567	0	306796	Markers	BUT-LEFT-ButtonB-Press
307.058757040864	0	307061	Markers	WiimoteButtonB released
307.141756704885	0	307144	Markers	WiimoteButtonB pressed
307.142756700837	0	307145	Markers	BUT-LEFT-ButtonB-Press
307.541755085711	0	307544	Markers	WiimoteButtonB released
307.867753766084	0	307870	Markers	Reaction: 0.476-left-blue-correct
307.869753757988	0	307872	Markers	End-Trial-3.601
307.903753620358	0	307906	Markers	Trial Start: No.6-angle:40-right-right-kongruent-yellow-FA:no
309.431747435112	0	309434	Markers	Stim-40-R-walk-191-yellow--1-kongruent
309.886745593301	0	309889	Markers	WiimoteButtonB pressed
309.887745589254	0	309890	Markers	BUT-RIGHT-ButtonB-Press
310.123744633941	0	310126	Markers	WiimoteButtonB released
310.982741156764	0	310985	Markers	Reaction: 0.457-right-yellow-correct
310.983741152716	0	310986	Markers	End-Trial-3.08
311.017741015086	0	311020	Markers	Trial Start: No.7-angle:60-left-left-kongruent-yellow-FA:no
312.362735570613	0	312365	Markers	Stim-60-L-walk-125-yellow--1-kongruent
312.808733765233	0	312811	Markers	WiimoteButtonB pressed
312.810733757137	0	312813	Markers	BUT-LEFT-ButtonB-Press
313.095732603476	0	313098	Markers	WiimoteButtonB released
313.913729292264	0	313916	Markers	Reaction: 0.447-left-yellow-correct
313.914729288216	0	313917	Markers	End-Trial-2.897
313.949729146539	0	313952	Markers	Trial Start: No.8-angle:40-right-right-kongruent-blue-FA:no
315.294723702065	0	315297	Markers	Stim-40-R-walk-016-blue--1-kongruent
315.855721431173	0	315858	Markers	WiimoteButtonB pressed
315.855721431173	0	315858	Markers	BUT-RIGHT-ButtonB-Press
316.059720605394	0	316062	Markers	WiimoteButtonB released
316.180720115594	0	316183	Markers	WiimoteButtonB pressed
316.180720115594	0	316183	Markers	BUT-RIGHT-ButtonB-Press
316.395719245288	0	316398	Markers	WiimoteButtonB released
316.846717419669	0	316849	Markers	Reaction: 0.561-right-blue-correct
316.847717415621	0	316850	Markers	End-Trial-2.898
316.881717277991	0	316884	Markers	Trial Start: No.9-angle:40-left-left-kongruent-yellow-FA:no
318.207711910428	0	318210	Markers	Stim-NOTshown
318.728709801454	0	318731	Markers	Stim-NOTshown
319.249707692479	0	319252	Markers	Stim-NOTshown
319.769705587553	0	319772	Markers	Stim-NOTshown
320.292703470483	0	320295	Markers	Stim-40-L-walk-026-yellow-1-kongruent
320.801701410083	0	320804	Markers	WiimoteButtonB pressed
