onset	duration	trial_type	Response	Stimulus	RT
5.013	0.2	visual standard stimulus presentation	n/a	n/a	n/a
8.024	0.2	visual standard stimulus presentation	n/a	n/a	n/a
10.043	0.417	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
10.043	0.2	visual oddball stimulus presentation	1.0	target	n/a
12.442	0.2	visual standard stimulus presentation	0.0	standard	n/a
14.842	0.2	visual oddball stimulus presentation	1.0	target	n/a
14.842	0.39	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
17.241	0.479	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
17.241	0.2	visual oddball stimulus presentation	1.0	target	n/a
19.441	0.2	visual standard stimulus presentation	0.0	standard	n/a
21.642	0.2	visual standard stimulus presentation	0.0	standard	n/a
23.843	0.2	visual standard stimulus presentation	0.0	standard	n/a
26.043	0.2	visual standard stimulus presentation	0.0	standard	n/a
28.443	0.2	visual standard stimulus presentation	0.0	standard	n/a
30.446	0.2	visual standard stimulus presentation	0.0	standard	n/a
32.645	0.2	visual standard stimulus presentation	0.0	standard	n/a
35.045	0.2	visual standard stimulus presentation	0.0	standard	n/a
37.444	0.2	visual oddball stimulus presentation	1.0	target	n/a
37.444	0.496	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
39.844	0.2	visual standard stimulus presentation	0.0	standard	n/a
42.639	0.449	behavioral response time following visual oddball stimulus onset	1.0	target	n/a
42.639	0.2	visual oddball stimulus presentation	1.0	target	n/a
45.039	0.2	visual standard stimulus presentation	0.0	standard	n/a
47.042	0.2	visual standard stimulus presentation	0.0	standard	n/a
50.037	0.2	visual standard stimulus presentation	0.0	standard	n/a
52.039	0.2	visual standard stimulus presentation	0.0	standard	n/a
54.238	0.2	visual standard stimulus presentation	0.0	standard	n/a
56.837	0.2	visual standard stimulus presentation	0.0	standard	n/a
59.435	0.2	visual standard stimulus presentation	0.0	standard	n/a
61.635	0.2	visual standard stimulus presentation	0.0	standard	n/a
64.034	0.2	visual standard stimulus presentation	0.0	standard	n/a
66.036	0.2	visual standard stimulus presentation	0.0	standard	n/a
69.032	0.2	visual standard stimulus presentation	0.0	standard	n/a
71.63	0.2	visual standard stimulus presentation	0.0	standard	n/a
74.227	0.2	visual standard stimulus presentation	0.0	standard	n/a
76.229	0.2	visual standard stimulus presentation	0.0	standard	n/a
79.224	0.2	visual standard stimulus presentation	0.0	standard	n/a
82.021	0.2	visual standard stimulus presentation	0.0	standard	n/a
84.618	0.2	visual standard stimulus presentation	0.0	standard	n/a
86.62	0.2	visual standard stimulus presentation	0.0	standard	n/a
89.217	0.2	visual standard stimulus presentation	0.0	standard	n/a
92.015	0.2	visual standard stimulus presentation	0.0	standard	n/a
94.414	0.2	visual standard stimulus presentation	0.0	standard	n/a
97.012	0.2	visual standard stimulus presentation	0.0	standard	n/a
99.411	0.2	visual standard stimulus presentation	0.0	standard	n/a
101.612	n/a	n/a	1.0	target	n/a
