onset	duration	sample	type	value
27.363869735506	0	27365	Markers	BASE-START
68.9076719680693	0	68909	Markers	BASE-END
101.110518667839	0	101112	Markers	START-stand , Sub-No.-46
101.13151856787	0	101133	Markers	Trial Start: No.0-angle:40-left-left-kongruent-yellow-FA:no
102.576511689044	0	102578	Markers	Stim-40-L-stand-141-yellow-1-kongruent
103.37050790926	0	103372	Markers	WiimoteButtonB pressed
103.37050790926	0	103372	Markers	BUT-LEFT-ButtonB-Press
103.581506904809	0	103583	Markers	WiimoteButtonB released
104.127504305612	0	104129	Markers	Reaction: 0.794-left-yellow-correct
104.128504300852	0	104130	Markers	End-Trial-2.997
104.162504138997	0	104164	Markers	Trial Start: No.1-angle:25-right-right-kongruent-yellow-FA:no
105.607497260171	0	105609	Markers	Stim-25-R-stand-204-yellow-1-kongruent
106.04849516082	0	106050	Markers	WiimoteButtonB pressed
106.04949515606	0	106051	Markers	BUT-RIGHT-ButtonB-Press
106.21049438963	0	106212	Markers	WiimoteButtonB released
107.158489876739	0	107160	Markers	Reaction: 0.442-right-yellow-correct
107.159489871979	0	107161	Markers	End-Trial-2.997
107.193489710124	0	107195	Markers	Trial Start: No.2-angle:30-right-right-kongruent-blue-FA:no
108.755482274327	0	108757	Markers	Stim-30-R-stand-185-blue-1-kongruent
109.062480812874	0	109064	Markers	WiimoteButtonB pressed
109.063480808114	0	109065	Markers	BUT-RIGHT-ButtonB-Press
109.195480179737	0	109197	Markers	WiimoteButtonB released
109.260479870309	0	109262	Markers	WiimoteButtonB pressed
109.260479870309	0	109262	Markers	BUT-RIGHT-ButtonB-Press
109.378479308577	0	109380	Markers	WiimoteButtonB released
110.306474890895	0	110308	Markers	Reaction: 0.308-right-blue-correct
110.308474881375	0	110310	Markers	End-Trial-3.114
110.343474714759	0	110345	Markers	Trial Start: No.3-angle:60-right-right-kongruent-yellow-FA:no
111.905467278963	0	111907	Markers	Stim-60-R-stand-141-yellow-1-kongruent
112.243465669936	0	112245	Markers	WiimoteButtonB pressed
112.244465665176	0	112246	Markers	BUT-RIGHT-ButtonB-Press
112.377465032038	0	112379	Markers	WiimoteButtonB released
113.455459900291	0	113457	Markers	Reaction: 0.34-right-yellow-correct
113.45745989077	0	113459	Markers	End-Trial-3.115
113.492459724155	0	113494	Markers	Trial Start: No.4-angle:40-left-left-kongruent-yellow-FA:no
114.855453235685	0	114857	Markers	Stim-40-L-stand-140-yellow-1-kongruent
115.156451802794	0	115158	Markers	WiimoteButtonB pressed
115.157451798034	0	115159	Markers	BUT-LEFT-ButtonB-Press
115.343450912593	0	115345	Markers	WiimoteButtonB released
116.405445857013	0	116407	Markers	Reaction: 0.303-left-yellow-correct
116.407445847492	0	116409	Markers	End-Trial-2.915
116.442445680877	0	116444	Markers	Trial Start: No.5-angle:40-left-left-kongruent-yellow-FA:no
117.971438402175	0	117973	Markers	Stim-40-L-stand-140-yellow-1-kongruent
118.313436774107	0	118315	Markers	WiimoteButtonB pressed
118.314436769346	0	118316	Markers	BUT-LEFT-ButtonB-Press
118.519435793458	0	118521	Markers	WiimoteButtonB released
119.521431023504	0	119523	Markers	Reaction: 0.344-left-yellow-correct
119.523431013983	0	119525	Markers	End-Trial-3.081
119.557430852128	0	119559	Markers	Trial Start: No.6-angle:40-right-right-kongruent-blue-FA:no
121.101423502019	0	121103	Markers	Stim-40-R-stand-164-blue-1-kongruent
121.405422054847	0	121407	Markers	WiimoteButtonB pressed
121.406422050087	0	121408	Markers	BUT-RIGHT-ButtonB-Press
121.571421264615	0	121573	Markers	WiimoteButtonB released
121.631420978989	0	121633	Markers	WiimoteButtonB pressed
121.632420974229	0	121634	Markers	BUT-RIGHT-ButtonB-Press
121.785420245883	0	121787	Markers	WiimoteButtonB released
122.651416123348	0	122653	Markers	Reaction: 0.305-right-blue-correct
122.653416113827	0	122655	Markers	End-Trial-3.096
122.687415951972	0	122689	Markers	Trial Start: No.7-angle:60-left-left-kongruent-blue-FA:no
124.133409068386	0	124135	Markers	Stim-60-L-stand-128-blue-1-kongruent
124.646406626283	0	124648	Markers	WiimoteButtonB pressed
124.646406626283	0	124648	Markers	BUT-LEFT-ButtonB-Press
124.76940604075	0	124771	Markers	WiimoteButtonB released
124.854405636113	0	124856	Markers	WiimoteButtonB pressed
124.854405636113	0	124856	Markers	BUT-LEFT-ButtonB-Press
124.994404969653	0	124996	Markers	WiimoteButtonB released
125.684401684954	0	125686	Markers	Reaction: 0.513-left-blue-correct
125.686401675433	0	125688	Markers	End-Trial-2.999
125.720401513578	0	125722	Markers	Trial Start: No.8-angle:60-left-left-kongruent-yellow-FA:no
127.297394006375	0	127299	Markers	Stim-60-L-stand-128-yellow-1-kongruent
127.814391545231	0	127816	Markers	WiimoteButtonB pressed
127.814391545231	0	127816	Markers	BUT-LEFT-ButtonB-Press
127.97939075976	0	127981	Markers	WiimoteButtonB released
128.849386618183	0	128851	Markers	Reaction: 0.517-left-yellow-correct
128.850386613422	0	128852	Markers	End-Trial-3.13
128.885386446807	0	128887	Markers	Trial Start: No.9-angle:40-right-right-kongruent-yellow-FA:no
130.198380196358	0	130200	Markers	Stim-40-R-stand-164-yellow-1-kongruent
130.514378692061	0	130516	Markers	WiimoteButtonB pressed
130.515378687301	0	130517	Markers	BUT-RIGHT-ButtonB-Press
130.686377873267	0	130688	Markers	WiimoteButtonB released
131.750372808166	0	131752	Markers	Reaction: 0.317-right-yellow-correct
131.751372803406	0	131753	Markers	End-Trial-2.866
131.785372641551	0	131787	Markers	Trial Start: No.10-angle:60-right-right-kongruent-yellow-FA:no
133.19636592458	0	133198	Markers	Stim-60-R-stand-141-yellow-1-kongruent
133.505364453606	0	133507	Markers	WiimoteButtonB pressed
133.506364448845	0	133508	Markers	BUT-RIGHT-ButtonB-Press
133.650363763343	0	133652	Markers	WiimoteButtonB released
134.747358541148	0	134749	Markers	Reaction: 0.311-right-yellow-correct
134.748358536387	0	134750	Markers	End-Trial-2.963
134.782358374533	0	134784	Markers	Trial Start: No.11-angle:60-left-left-kongruent-yellow-FA:no
136.178351728968	0	136180	Markers	Stim-60-L-stand-128-yellow-1-kongruent
136.51935010566	0	136521	Markers	WiimoteButtonB pressed
136.5203501009	0	136522	Markers	BUT-LEFT-ButtonB-Press
136.724349129771	0	136726	Markers	WiimoteButtonB released
137.728344350296	0	137730	Markers	Reaction: 0.343-left-yellow-correct
137.730344340775	0	137732	Markers	End-Trial-2.948
137.763344183681	0	137765	Markers	Trial Start: No.12-angle:60-left-left-kongruent-yellow-FA:no
139.126337695211	0	139128	Markers	Stim-60-L-stand-128-yellow-1-kongruent
139.561335624422	0	139563	Markers	WiimoteButtonB pressed
139.562335619662	0	139564	Markers	BUT-LEFT-ButtonB-Press
139.734334800867	0	139736	Markers	WiimoteButtonB released
140.677330311779	0	140679	Markers	Reaction: 0.436-left-yellow-correct
140.679330302258	0	140681	Markers	End-Trial-2.915
140.712330145164	0	140714	Markers	Trial Start: No.13-angle:60-left-left-kongruent-blue-FA:no
142.202323052118	0	142204	Markers	Stim-60-L-stand-128-blue-1-kongruent
142.583321238393	0	142585	Markers	WiimoteButtonB pressed
142.585321228872	0	142587	Markers	BUT-LEFT-ButtonB-Press
142.735320514807	0	142737	Markers	WiimoteButtonB released
142.79732021966	0	142799	Markers	WiimoteButtonB pressed
142.79932021014	0	142801	Markers	BUT-LEFT-ButtonB-Press
142.941319534158	0	142943	Markers	WiimoteButtonB released
143.720315825781	0	143722	Markers	Reaction: 0.383-left-blue-correct
143.72231581626	0	143724	Markers	End-Trial-3.009
143.756315654405	0	143758	Markers	Trial Start: No.14-angle:60-left-left-kongruent-blue-FA:no
145.201308775579	0	145203	Markers	Stim-60-L-stand-128-blue-1-kongruent
145.59130691901	0	145593	Markers	WiimoteButtonB pressed
