name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement
Rigid1_eul_x	ORNT	rad	73.8717554516659	PhaseSpace	Rigid1	x	Rigid1
Rigid1_eul_y	ORNT	rad	73.8717554516659	PhaseSpace	Rigid1	y	Rigid1
Rigid1_eul_z	ORNT	rad	73.8717554516659	PhaseSpace	Rigid1	z	Rigid1
Rigid1_cart_x	POS	m	73.8717554516659	PhaseSpace	Rigid1	x	Rigid1
Rigid1_cart_y	POS	m	73.8717554516659	PhaseSpace	Rigid1	y	Rigid1
Rigid1_cart_z	POS	m	73.8717554516659	PhaseSpace	Rigid1	z	Rigid1
Rigid1_Conf	Confidence	n/a	73.8717554516659	PhaseSpace	Rigid1	Conf	Rigid1
Rigid2_eul_x	ORNT	rad	73.8717554516659	PhaseSpace	Rigid2	x	Rigid2
Rigid2_eul_y	ORNT	rad	73.8717554516659	PhaseSpace	Rigid2	y	Rigid2
Rigid2_eul_z	ORNT	rad	73.8717554516659	PhaseSpace	Rigid2	z	Rigid2
Rigid2_cart_x	POS	m	73.8717554516659	PhaseSpace	Rigid2	x	Rigid2
Rigid2_cart_y	POS	m	73.8717554516659	PhaseSpace	Rigid2	y	Rigid2
Rigid2_cart_z	POS	m	73.8717554516659	PhaseSpace	Rigid2	z	Rigid2
Rigid2_Conf	Confidence	n/a	73.8717554516659	PhaseSpace	Rigid2	Conf	Rigid2
Rigid3_eul_x	ORNT	rad	73.8717554516659	PhaseSpace	Rigid3	x	Rigid3
Rigid3_eul_y	ORNT	rad	73.8717554516659	PhaseSpace	Rigid3	y	Rigid3
Rigid3_eul_z	ORNT	rad	73.8717554516659	PhaseSpace	Rigid3	z	Rigid3
Rigid3_cart_x	POS	m	73.8717554516659	PhaseSpace	Rigid3	x	Rigid3
Rigid3_cart_y	POS	m	73.8717554516659	PhaseSpace	Rigid3	y	Rigid3
Rigid3_cart_z	POS	m	73.8717554516659	PhaseSpace	Rigid3	z	Rigid3
Rigid3_Conf	Confidence	n/a	73.8717554516659	PhaseSpace	Rigid3	Conf	Rigid3
Rigid4_eul_x	ORNT	rad	73.8717554516659	PhaseSpace	Rigid4	x	Rigid4
Rigid4_eul_y	ORNT	rad	73.8717554516659	PhaseSpace	Rigid4	y	Rigid4
Rigid4_eul_z	ORNT	rad	73.8717554516659	PhaseSpace	Rigid4	z	Rigid4
Rigid4_cart_x	POS	m	73.8717554516659	PhaseSpace	Rigid4	x	Rigid4
Rigid4_cart_y	POS	m	73.8717554516659	PhaseSpace	Rigid4	y	Rigid4
Rigid4_cart_z	POS	m	73.8717554516659	PhaseSpace	Rigid4	z	Rigid4
Rigid4_Conf	Confidence	n/a	73.8717554516659	PhaseSpace	Rigid4	Conf	Rigid4
Rigid4_latency	LATENCY	seconds	73.8717554516659	PhaseSpace	Rigid4	latency	Rigid4
headRigid_eul_x	ORNT	rad	73.8709664551636	HTCVive	headRigid	x	head
headRigid_eul_y	ORNT	rad	73.8709664551636	HTCVive	headRigid	y	head
headRigid_eul_z	ORNT	rad	73.8709664551636	HTCVive	headRigid	z	head
headRigid_cart_x	POS	m	73.8709664551636	HTCVive	headRigid	x	head
headRigid_cart_y	POS	m	73.8709664551636	HTCVive	headRigid	y	head
headRigid_cart_z	POS	m	73.8709664551636	HTCVive	headRigid	z	head
Rigid_headRigid_PS_offset_yaw	PS_offset_yaw	euler	73.8709664551636	HTCVive	headRigid	yaw	head
headRigid_latency	LATENCY	seconds	73.8709664551636	HTCVive	headRigid	latency	head
