onset	duration	trial_type	cash_demean	control_pumps_demean	pumps_demean
0.064	2.543	pumps_fixed_real_RT	n/a	n/a	n/a
0.064	0.772	pumps_demean	n/a	n/a	-1.5
5.2989999999999995	1.876	pumps_fixed_real_RT	n/a	n/a	n/a
5.2989999999999995	0.772	pumps_demean	n/a	n/a	-0.5
9.724	2.019	pumps_fixed_real_RT	n/a	n/a	n/a
9.724	0.772	pumps_demean	n/a	n/a	0.5
14.68	3.287	pumps_fixed_real_RT	n/a	n/a	n/a
14.68	0.772	pumps_demean	n/a	n/a	1.5
19.7	1.307	cash_fixed_real_RT	n/a	n/a	n/a
19.7	0.772	cash_demean	1.286	n/a	n/a
24.176	0.772	pumps_demean	n/a	n/a	-0.5
24.176	0.72	pumps_fixed_real_RT	n/a	n/a	n/a
26.378	0.878	pumps_fixed_real_RT	n/a	n/a	n/a
26.378	0.772	pumps_demean	n/a	n/a	0.5
29.921	0.772	explode_fixed	n/a	n/a	n/a
37.791	0.664	pumps_fixed_real_RT	n/a	n/a	n/a
37.791	0.772	pumps_demean	n/a	n/a	0.0
40.688	0.456	cash_fixed_real_RT	n/a	n/a	n/a
40.688	0.772	cash_demean	-1.714	n/a	n/a
44.365	0.772	pumps_demean	n/a	n/a	-0.5
44.365	0.851	pumps_fixed_real_RT	n/a	n/a	n/a
47.898	0.772	pumps_demean	n/a	n/a	0.5
47.898	2.046	pumps_fixed_real_RT	n/a	n/a	n/a
52.731	1.485	cash_fixed_real_RT	n/a	n/a	n/a
52.731	0.772	cash_demean	-0.7140000000000001	n/a	n/a
61.559	0.772	pumps_demean	n/a	n/a	-1.0
61.559	0.489	pumps_fixed_real_RT	n/a	n/a	n/a
63.513999999999996	0.846	pumps_fixed_real_RT	n/a	n/a	n/a
63.513999999999996	0.772	pumps_demean	n/a	n/a	0.0
66.26899999999999	0.772	pumps_demean	n/a	n/a	1.0
66.26899999999999	2.171	pumps_fixed_real_RT	n/a	n/a	n/a
70.923	0.772	cash_demean	0.28600000000000003	n/a	n/a
70.923	0.733	cash_fixed_real_RT	n/a	n/a	n/a
76.04899999999999	0.772	pumps_demean	n/a	n/a	-1.0
76.04899999999999	2.175	pumps_fixed_real_RT	n/a	n/a	n/a
79.413	0.772	pumps_demean	n/a	n/a	0.0
79.413	0.9309999999999999	pumps_fixed_real_RT	n/a	n/a	n/a
81.58800000000001	0.772	pumps_demean	n/a	n/a	1.0
81.58800000000001	0.8759999999999999	pumps_fixed_real_RT	n/a	n/a	n/a
83.92200000000001	0.574	cash_fixed_real_RT	n/a	n/a	n/a
83.92200000000001	0.772	cash_demean	0.28600000000000003	n/a	n/a
89.12299999999999	0.772	pumps_demean	n/a	n/a	-2.0
89.12299999999999	0.502	pumps_fixed_real_RT	n/a	n/a	n/a
91.596	0.772	pumps_demean	n/a	n/a	-1.0
91.596	0.42100000000000004	pumps_fixed_real_RT	n/a	n/a	n/a
93.50200000000001	0.386	pumps_fixed_real_RT	n/a	n/a	n/a
93.50200000000001	0.772	pumps_demean	n/a	n/a	0.0
95.542	0.772	pumps_demean	n/a	n/a	1.0
95.542	1.0190000000000001	pumps_fixed_real_RT	n/a	n/a	n/a
98.5	0.7490000000000001	pumps_fixed_real_RT	n/a	n/a	n/a
98.5	0.772	pumps_demean	n/a	n/a	2.0
101.09100000000001	0.9179999999999999	cash_fixed_real_RT	n/a	n/a	n/a
101.09100000000001	0.772	cash_demean	2.286	n/a	n/a
105.152	0.772	pumps_demean	n/a	n/a	0.0
105.152	0.705	pumps_fixed_real_RT	n/a	n/a	n/a
107.39200000000001	0.772	cash_demean	-1.714	n/a	n/a
107.39200000000001	2.352	cash_fixed_real_RT	n/a	n/a	n/a
115.318	1.538	pumps_fixed_real_RT	n/a	n/a	n/a
115.318	0.772	pumps_demean	n/a	n/a	-1.5
119.60700000000001	0.772	pumps_demean	n/a	n/a	-0.5
119.60700000000001	1.185	pumps_fixed_real_RT	n/a	n/a	n/a
122.454	0.772	pumps_demean	n/a	n/a	0.5
122.454	1.084	pumps_fixed_real_RT	n/a	n/a	n/a
125.20700000000001	0.898	pumps_fixed_real_RT	n/a	n/a	n/a
125.20700000000001	0.772	pumps_demean	n/a	n/a	1.5
129.124	0.6859999999999999	cash_fixed_real_RT	n/a	n/a	n/a
129.124	0.772	cash_demean	1.286	n/a	n/a
133.094	0.772	control_pumps_demean	n/a	0.0	n/a
133.094	0.595	control_pumps_fixed_real_RT	n/a	n/a	n/a
142.123	0.772	pumps_demean	n/a	n/a	-1.0
142.123	1.486	pumps_fixed_real_RT	n/a	n/a	n/a
146.17600000000002	0.772	pumps_demean	n/a	n/a	0.0
146.17600000000002	1.361	pumps_fixed_real_RT	n/a	n/a	n/a
149.631	0.772	pumps_demean	n/a	n/a	1.0
149.631	0.938	pumps_fixed_real_RT	n/a	n/a	n/a
151.797	0.772	cash_demean	0.28600000000000003	n/a	n/a
151.797	0.8759999999999999	cash_fixed_real_RT	n/a	n/a	n/a
