onset	duration	trial_type
0.237	2.500	junk single-task items
3.556	2.500	correct classification of dual-task items
7.438	2.500	junk dual-task items
11.627	2.500	junk dual-task items
16.752	2.500	correct classification of single-task items
19.830	2.500	correct classification of single-task items
25.133	2.500	correct classification of single-task items
28.445	2.500	correct classification of single-task items
33.659	2.500	correct classification of dual-task items
37.760	2.500	correct classification of dual-task items
41.932	2.500	correct classification of dual-task items
46.431	2.500	junk single-task items
53.526	2.500	junk single-task items
57.760	2.500	junk single-task items
61.752	2.500	junk single-task items
68.506	2.500	correct classification of dual-task items
71.573	2.500	junk dual-task items
74.790	2.500	junk dual-task items
78.805	2.500	junk single-task items
82.127	2.500	junk single-task items
85.948	2.500	correct classification of dual-task items
90.971	2.500	correct classification of dual-task items
95.088	2.500	correct classification of single-task items
99.260	2.500	junk single-task items
102.471	2.500	correct classification of single-task items
106.447	2.500	correct classification of dual-task items
110.627	2.500	junk dual-task items
116.931	2.500	junk single-task items
120.252	2.500	correct classification of dual-task items
124.948	2.500	junk single-task items
128.635	2.500	junk dual-task items
132.596	2.500	correct classification of dual-task items
140.098	2.500	junk dual-task items
145.448	2.500	correct classification of dual-task items
150.009	2.500	junk dual-task items
153.292	2.500	correct classification of single-task items
156.939	2.500	correct classification of single-task items
160.259	2.500	junk single-task items
163.448	2.500	junk dual-task items
170.534	2.500	junk single-task items
174.518	2.500	correct classification of single-task items
180.564	2.500	correct classification of dual-task items
183.635	2.500	correct classification of dual-task items
187.658	2.500	junk single-task items
191.760	2.500	junk dual-task items
195.002	2.500	correct classification of dual-task items
198.977	2.500	correct classification of dual-task items
202.752	2.500	junk dual-task items
210.337	2.500	correct classification of single-task items
213.198	2.500	correct classification of single-task items
220.665	2.500	junk dual-task items
224.938	2.500	correct classification of single-task items
227.948	2.500	correct classification of single-task items
230.948	2.500	correct classification of single-task items
237.486	2.500	junk dual-task items
241.885	2.500	correct classification of dual-task items
245.314	2.500	correct classification of dual-task items
248.759	2.500	junk single-task items
252.384	2.500	junk single-task items
256.198	2.500	correct classification of single-task items
260.325	2.500	junk single-task items
264.306	2.500	correct classification of single-task items
268.197	2.500	correct classification of dual-task items
275.791	2.500	junk dual-task items
279.066	2.500	junk single-task items
282.217	2.500	correct classification of single-task items
285.564	2.500	correct classification of single-task items
288.501	2.500	junk single-task items
291.760	2.500	correct classification of dual-task items
296.823	2.500	junk dual-task items
300.252	2.500	junk dual-task items
305.781	2.500	correct classification of single-task items
310.588	2.500	junk single-task items
313.448	2.500	correct classification of single-task items
319.002	2.500	junk dual-task items
322.063	2.500	junk dual-task items
326.189	2.500	correct classification of dual-task items
329.720	2.500	junk dual-task items
335.666	2.500	junk single-task items
339.254	2.500	correct classification of single-task items
344.581	2.500	junk dual-task items
348.573	2.500	junk dual-task items
351.634	2.500	junk dual-task items
354.759	2.500	junk single-task items
358.698	2.500	correct classification of single-task items
361.830	2.500	correct classification of single-task items
366.540	2.500	correct classification of dual-task items
371.087	2.500	junk dual-task items
374.079	2.500	junk dual-task items
377.556	2.500	correct classification of single-task items
381.291	2.500	correct classification of single-task items
384.503	2.500	junk single-task items
388.501	2.500	junk dual-task items
392.909	2.500	junk single-task items
396.143	2.500	junk single-task items
400.198	2.500	correct classification of single-task items
404.073	2.500	correct classification of dual-task items
407.720	2.500	correct classification of dual-task items
410.814	2.500	junk dual-task items
414.253	2.500	junk dual-task items
417.306	2.500	correct classification of single-task items
420.306	2.500	junk single-task items
427.791	2.500	correct classification of dual-task items
432.909	2.500	correct classification of dual-task items
439.096	2.500	junk dual-task items
444.596	2.500	correct classification of dual-task items
450.273	2.500	correct classification of single-task items
455.080	2.500	correct classification of single-task items
460.384	2.500	junk single-task items
464.323	2.500	junk single-task items
468.721	2.500	junk dual-task items
472.439	2.500	junk dual-task items
