onset	duration	trial_type
0.12280103	4.0	single-task classification
4.74837	4.0	single-task classification
9.3950578	4.0	single-task classification
13.990765	4.0	single-task classification
18.637697	4.0	single-task classification
23.137697	2.0	single-task probe
41.07891	4.0	single-task classification
45.72597	4.0	single-task classification
50.323279	4.0	single-task classification
55.024725	4.0	single-task classification
59.621282	4.0	single-task classification
64.121282	2.0	single-task probe
81.98655	4.0	single-task classification
86.596596	4.0	single-task classification
91.243985	4.0	single-task classification
95.895345	4.0	single-task classification
100.5217	4.0	single-task classification
105.0217	2.0	single-task probe
122.85382	4.0	single-task classification
127.50086	4.0	single-task classification
132.08844	4.0	single-task classification
136.74063	4.0	single-task classification
141.33613	4.0	single-task classification
145.83613	2.0	single-task probe
163.56401	4.0	single-task classification
168.21507	4.0	single-task classification
172.91593	4.0	single-task classification
177.62562	4.0	single-task classification
182.26714	4.0	single-task classification
186.76714	2.0	single-task probe
204.79638	4.0	single-task classification
209.41904	4.0	single-task classification
214.01195	4.0	single-task classification
218.60366	4.0	single-task classification
223.26353	4.0	single-task classification
227.76353	2.0	single-task probe
245.56222	4.0	single-task classification
250.2691	4.0	single-task classification
254.9165	4.0	single-task classification
259.6243	4.0	single-task classification
264.27368	4.0	single-task classification
268.77368	2.0	single-task probe
286.48345	4.0	single-task classification
291.07695	4.0	single-task classification
295.67204	4.0	single-task classification
300.31965	4.0	single-task classification
304.97715	4.0	single-task classification
309.47715	2.0	single-task probe
327.30456	4.0	single-task classification
331.89988	4.0	single-task classification
336.49211	4.0	single-task classification
341.20329	4.0	single-task classification
345.84383	4.0	single-task classification
350.34383	2.0	single-task probe
368.1227	4.0	single-task classification
372.75361	4.0	single-task classification
377.34896	4.0	single-task classification
381.99081	4.0	single-task classification
386.64298	4.0	single-task classification
391.14298	2.0	single-task probe
