name	x	y	z	size
1	-42.7816056013107	-35.5109979510307	27.6850966811173	2.3
2	-47.0008056759834	-29.8853978514671	33.6850898861878	2.3
3	-50.7512057423592	-22.8533977270126	38.6850842237465	2.3
4	-54.9704058170319	-13.9461975693703	44.685077428817	2.3
5	-58.7208058834076	-5.50779742002487	48.685072898864	2.3
6	-61.5336059331894	4.80580276250839	53.6850672364227	2.3
7	-59.6584059000015	15.5882029533386	53.6850672364227	2.3
8	-59.6584059000015	25.9018031358719	54.6850661039344	2.3
9	-35.7496054768562	-35.9797979593277	33.6850898861878	2.3
10	-39.9688055515289	-32.229397892952	40.68508195877	2.3
11	-45.1256056427956	-24.2597977519035	44.685077428817	2.3
12	-47.0008056759834	-14.4149975776672	50.6850706338875	2.3
13	-49.3448057174683	-5.03899741172791	52.685068368911	2.3
14	-52.1576057672501	4.80580276250839	58.6850615739815	2.3
15	-48.4072057008743	15.5882029533386	53.6850672364228	2.3
16	-53.095205783844	24.964203119278	61.6850581765167	2.3
17	-27.3112053275108	-37.8549979925156	39.6850830912584	2.3
18	-31.0616053938866	-30.8229978680611	45.6850762963288	2.3
19	-35.2808054685593	-23.7909977436066	49.6850717663758	2.3
20	-38.0936055183411	-15.3525975942612	57.6850627064698	2.3
21	-44.1880056262016	-6.4453974366188	63.6850559115403	2.3
22	-45.1256056427956	4.80580276250839	66.6850525140755	2.3
23	-47.0008056759834	15.1194029450417	69.6850491166107	2.3
24	-44.6568056344986	24.964203119278	68.685050249099	2.3
25	-19.8104051947594	-33.1669979095459	41.6850808262819	2.3
26	-22.6232052445412	-28.9477978348732	50.6850706338876	2.3
27	-26.8424053192139	-22.3845977187157	56.6850638389581	2.3
28	-31.5304054021835	-16.2901976108551	62.6850570440286	2.3
29	-33.8744054436684	-6.4453974366188	68.685050249099	2.3
30	-32.4680054187775	2.93060272932053	68.685050249099	2.3
31	-37.6248055100441	14.6506029367447	74.6850434541695	2.3
32	-37.6248055100441	24.495403110981	73.6850445866578	2.3
33	-16.5288051366806	54.4986036419868	76.6850411891931	2.3
34	-11.372005045414	45.5914034843445	55.6850649714464	2.3
35	-39.500005543232	52.623403608799	69.6850491166108	2.3
36	-45.5944056510925	48.8730035424232	62.6850570440285	2.3
37	-47.4696056842804	42.3098034262657	52.685068368911	2.3
38	-60.1272059082985	41.8410034179688	47.6850740313522	2.3
39	-59.6584059000015	36.2154033184052	36.685086488723	2.3
40	-61.5336059331894	31.0586032271385	26.6850978136055	2.3
41	-17.9352051615715	63.8746038079262	73.6850445866579	2.3
42	-12.3096050620079	54.4986036419868	53.6850672364229	2.3
43	-40.4376055598259	61.9994037747383	65.6850536465638	2.3
44	-40.4376055598259	56.3738036751747	49.6850717663758	2.3
45	-45.5944056510925	54.0298036336899	45.6850762963288	2.3
46	-62.9400059580803	53.0922036170959	45.6850762963287	2.3
47	-61.0648059248924	43.2474034428596	30.6850932836524	2.3
48	-59.1896058917046	39.028203368187	21.6851034760467	2.3
49	-24.498405277729	75.5946040153503	71.6850468516344	2.3
50	-12.7784050703049	64.3434038162231	50.6850706338877	2.3
51	-38.562405526638	70.9066039323807	58.6850615739815	2.3
52	-38.562405526638	63.4058037996292	46.6850751638406	2.3
53	-41.3752055764198	58.2490037083626	38.6850842237465	2.3
54	-51.6888057589531	57.7802037000656	33.6850898861878	2.3
55	-58.2520058751106	53.5610036253929	26.6850978136055	2.3
56	-55.9080058336258	46.9978035092354	15.6851102709762	2.3
57	-11.372005045414	80.28260409832	57.6850627064699	2.3
58	-13.2472050786018	73.7194039821625	47.6850740313524	2.3
59	-34.8120054602623	77.4698040485382	50.6850706338876	2.3
60	-37.1560055017471	71.3754039406776	41.6850808262818	2.3
61	-40.4376055598259	66.687403857708	32.685091018676	2.3
62	-44.6568056344986	61.9994037747383	24.685100078582	2.3
63	-49.8136057257652	58.2490037083626	17.6851080059998	2.3
64	-48.4072057008743	51.685803592205	7.68511933088229	2.3
65	-54.5016058087349	-23.7909977436066	8.68511819839401	2.3
66	-58.2520058751106	-18.6341976523399	15.6851102709762	2.3
67	-61.5336059331894	-13.0085975527763	22.6851023435585	2.3
68	-63.8776059746742	-8.78939747810364	28.6850955486289	2.3
69	-68.5656060576439	3.39940273761749	35.6850876212112	2.3
70	-60.5960059165955	17.9322029948235	47.6850740313522	2.3
71	-34.8120054602623	36.6842033267021	-19.3148500919349	2.3
72	-36.2184054851532	35.2778033018112	-22.3148466944701	2.3
73	-42.3128055930138	27.3082031607628	-24.3148444294937	2.3
74	-51.2200057506561	21.6826030611992	-24.3148444294937	2.3
75	-57.7832058668137	16.0570029616356	-22.3148466944702	2.3
76	-66.2216060161591	7.14980280399323	-20.3148489594468	2.3
77	-68.5656060576439	4.80580276250839	-11.314859151841	2.3
78	-69.5032060742378	1.99300271272659	-1.31487047672356	2.3
79	-15.5912051200867	-10.1957975029945	7.68511933088244	2.3
80	-17.4664051532745	-7.8517974615097	-1.31487047672331	2.3
81	-21.6856052279472	-5.50779742002487	-10.3148602843291	2.3
82	-33.8744054436684	-6.4453974366188	-14.3148557543761	2.3
83	-40.4376055598259	-5.50779742002487	-17.3148523569114	2.3
84	-53.564005792141	-6.4453974366188	-18.3148512244232	2.3
85	-19.8104051947594	-38.3237980008125	-11.3148591518408	2.3
86	-29.1864053606987	-32.6981979012489	-14.3148557543761	2.3
87	-35.2808054685593	-28.9477978348732	-18.3148512244231	2.3
88	-47.4696056842804	-24.7285977602005	-20.3148489594467	2.3
89	-55.9080058336258	-18.165397644043	-16.3148534893997	2.3
90	-60.5960059165955	-11.1333975195885	-10.3148602843293	2.3
91	-62.4712059497833	-6.4453974366188	-3.31486821174703	2.3
92	-69.0344060659409	-1.28859734535217	4.68512272834694	2.3
93	-69.5032060742378	4.33700275421143	12.6851136684409	2.3
94	-69.5032060742378	9.49380284547806	22.6851023435584	2.3
95	-69.5032060742378	16.5258029699326	30.6850932836524	2.3
96	-69.0344060659409	18.4010030031204	38.6850842237464	2.3
