	onset	duration	trial_type	Unnamed: 1	Rsponse	StimVar	Stimulus	ResponseTime
0	0.0	1.0	congruent_correct	1	1	congruent	509	n/a
1	2.5	1.0	congruent_correct	1	1	congruent	417	n/a
2	10.0	1.0	incongruent_correct	1	2	incongruent	503	n/a
3	12.5	1.0	incongruent_correct	1	2	incongruent	419	n/a
4	15.0	1.0	incongruent_correct	1	2	incongruent	376	n/a
5	17.5	1.0	incongruent_incorrect	0	2	incongruent	421	n/a
6	25.0	1.0	congruent_correct	1	1	congruent	459	n/a
7	27.5	1.0	congruent_correct	1	1	congruent	351	n/a
8	30.0	1.0	incongruent_correct	1	2	incongruent	340	n/a
9	32.5	1.0	congruent_correct	1	1	congruent	448	n/a
10	35.0	1.0	incongruent_correct	1	2	incongruent	621	n/a
11	37.5	1.0	congruent_correct	1	1	congruent	386	n/a
12	40.0	1.0	congruent_correct	1	1	congruent	414	n/a
13	42.5	1.0	incongruent_correct	1	2	incongruent	427	n/a
14	45.0	1.0	incongruent_correct	1	2	incongruent	344	n/a
15	47.5	1.0	incongruent_correct	1	2	incongruent	605	n/a
16	50.0	1.0	incongruent_correct	1	2	incongruent	385	n/a
17	52.5	1.0	incongruent_correct	1	2	incongruent	438	n/a
18	60.0	1.0	congruent_incorrect	0	1	congruent	483	n/a
19	62.5	1.0	congruent_correct	1	1	congruent	504	n/a
20	65.0	1.0	congruent_correct	1	1	congruent	372	n/a
21	67.5	1.0	congruent_correct	1	1	congruent	412	n/a
22	75.0	1.0	congruent_correct	1	1	congruent	585	n/a
23	77.5	1.0	congruent_correct	1	1	congruent	444	n/a
24	80.0	1.0	congruent_correct	1	1	congruent	424	n/a
25	82.5	1.0	incongruent_correct	1	2	incongruent	406	n/a
26	85.0	1.0	incongruent_correct	1	2	incongruent	426	n/a
27	87.5	1.0	congruent_correct	1	1	congruent	423	n/a
28	90.0	1.0	incongruent_correct	1	2	incongruent	420	n/a
29	92.5	1.0	congruent_correct	1	1	congruent	459	n/a
30	95.0	1.0	congruent_correct	1	1	congruent	463	n/a
31	97.5	1.0	incongruent_correct	1	2	incongruent	384	n/a
32	100.0	1.0	congruent_correct	1	1	congruent	454	n/a
33	102.5	1.0	incongruent_correct	1	2	incongruent	364	n/a
34	105.0	1.0	incongruent_correct	1	2	incongruent	407	n/a
35	107.5	1.0	incongruent_correct	1	2	incongruent	316	n/a
36	110.0	1.0	congruent_correct	1	1	congruent	385	n/a
37	112.5	1.0	congruent_correct	1	1	congruent	286	n/a
38	120.0	1.0	congruent_correct	1	1	congruent	531	n/a
39	122.5	1.0	congruent_correct	1	1	congruent	353	n/a
40	125.0	1.0	congruent_correct	1	1	congruent	397	n/a
41	127.5	1.0	congruent_correct	1	1	congruent	305	n/a
42	130.0	1.0	congruent_correct	1	1	congruent	383	n/a
43	132.5	1.0	incongruent_correct	1	2	incongruent	460	n/a
44	135.0	1.0	congruent_correct	1	1	congruent	439	n/a
45	137.5	1.0	incongruent_correct	1	2	incongruent	396	n/a
46	140.0	1.0	congruent_correct	1	1	congruent	362	n/a
47	142.5	1.0	incongruent_correct	1	2	incongruent	366	n/a
48	150.0	1.0	incongruent_correct	1	2	incongruent	581	n/a
49	152.5	1.0	congruent_correct	1	1	congruent	377	n/a
50	155.0	1.0	incongruent_correct	1	2	incongruent	404	n/a
51	157.5	1.0	incongruent_correct	1	2	incongruent	410	n/a
52	160.0	1.0	incongruent_correct	1	2	incongruent	373	n/a
53	162.5	1.0	incongruent_correct	1	2	incongruent	435	n/a
54	165.0	1.0	incongruent_correct	1	2	incongruent	343	n/a
55	167.5	1.0	incongruent_correct	1	2	incongruent	380	n/a
56	170.0	1.0	incongruent_correct	1	2	incongruent	297	n/a
57	172.5	1.0	incongruent_correct	1	2	incongruent	429	n/a
58	175.0	1.0	congruent_incorrect	0	1	congruent	386	n/a
59	177.5	1.0	congruent_correct	1	1	congruent	374	n/a
60	185.0	1.0	incongruent_correct	1	2	incongruent	500	n/a
61	187.5	1.0	congruent_correct	1	1	congruent	394	n/a
62	190.0	1.0	congruent_correct	1	1	congruent	381	n/a
63	192.5	1.0	incongruent_correct	1	2	incongruent	385	n/a
64	195.0	1.0	incongruent_correct	1	2	incongruent	375	n/a
65	197.5	1.0	incongruent_correct	1	2	incongruent	348	n/a
66	200.0	1.0	incongruent_correct	1	2	incongruent	360	n/a
67	202.5	1.0	congruent_correct	1	1	congruent	357	n/a
68	210.0	1.0	incongruent_correct	1	2	incongruent	476	n/a
69	212.5	1.0	incongruent_correct	1	2	incongruent	336	n/a
