onset	duration	trial_type	response_time	sample	value
117.1640625000	n/a	stimulus	n/a	29994.0000000000	128
125.8789062500	n/a	response	n/a	32225.0000000000	4
214.3632812500	n/a	stimulus	n/a	54877.0000000000	128
219.8046875000	n/a	response	n/a	56270.0000000000	2
222.0078125000	n/a	response	n/a	56834.0000000000	2
266.0117187500	n/a	stimulus	n/a	68099.0000000000	128
271.8828125000	n/a	response	n/a	69602.0000000000	2
274.1875000000	n/a	response	n/a	70192.0000000000	2
329.1914062500	n/a	stimulus	n/a	84273.0000000000	128
334.1210937500	n/a	response	n/a	85535.0000000000	4
365.6093750000	n/a	stimulus	n/a	93596.0000000000	128
368.4179687500	n/a	response	n/a	94315.0000000000	2
451.7773437500	n/a	stimulus	n/a	115655.0000000000	128
455.1250000000	n/a	response	n/a	116512.0000000000	2
569.6171875000	n/a	stimulus	n/a	145822.0000000000	128
572.3632812500	n/a	response	n/a	146525.0000000000	4
628.3750000000	n/a	stimulus	n/a	160864.0000000000	128
631.4609375000	n/a	response	n/a	161654.0000000000	2
635.1093750000	n/a	response	n/a	162588.0000000000	4
637.4375000000	n/a	response	n/a	163184.0000000000	2
721.4453125000	n/a	stimulus	n/a	184690.0000000000	128
727.3828125000	n/a	response	n/a	186210.0000000000	4
729.5859375000	n/a	response	n/a	186774.0000000000	2
843.5937500000	n/a	stimulus	n/a	215960.0000000000	128
849.4843750000	n/a	response	n/a	217468.0000000000	2
904.6914062500	n/a	stimulus	n/a	231601.0000000000	128
909.9804687500	n/a	response	n/a	232955.0000000000	4
912.1992187500	n/a	response	n/a	233523.0000000000	2
1057.2109375000	n/a	stimulus	n/a	270646.0000000000	128
1063.0039062500	n/a	response	n/a	272129.0000000000	4
1065.1875000000	n/a	response	n/a	272688.0000000000	2
1221.1992187500	n/a	stimulus	n/a	312627.0000000000	128
1223.8437500000	n/a	response	n/a	313304.0000000000	4
