onset	duration	trial_type	ConditionCode	CorrectAnswerCode	KeyPressed	ResponseTime	StoryCode
0.0	2.0	n/a	0.0	0.0	46.0	1.989932	0.0
2.0	2.0	n/a	0.0	0.0	46.0	1.992784	0.0
4.0	2.0	n/a	0.0	0.0	46.0	1.993053	0.0
6.0	2.0	n/a	0.0	0.0	46.0	1.992343	0.0
8.0	2.0	n/a	0.0	0.0	46.0	1.99274	0.0
10.0	2.0	n/a	1.0	2.0	46.0	1.994042	7.0
10.0	10.0	false belief story	n/a	n/a	n/a	n/a	n/a
12.0	2.0	n/a	1.0	2.0	46.0	1.992954	7.0
14.0	2.0	n/a	1.0	2.0	46.0	1.994276	7.0
16.0	2.0	n/a	1.0	2.0	46.0	1.99291	7.0
18.0	2.0	n/a	1.0	2.0	46.0	1.992686	7.0
20.0	2.0	n/a	0.0	0.0	46.0	1.993142	0.0
22.0	2.0	n/a	1.0	2.0	46.0	1.992083	7.0
22.0	6.0	false belief question	n/a	n/a	n/a	n/a	n/a
24.0	2.0	n/a	1.0	2.0	46.0	1.993366	7.0
26.0	2.0	n/a	1.0	2.0	30.0	1.221507	7.0
28.0	2.0	n/a	0.0	0.0	46.0	1.992832	0.0
30.0	2.0	n/a	0.0	0.0	46.0	1.99413	0.0
32.0	2.0	n/a	0.0	0.0	46.0	1.99222	0.0
34.0	2.0	n/a	0.0	0.0	46.0	1.992531	0.0
36.0	2.0	n/a	0.0	0.0	46.0	1.992671	0.0
38.0	2.0	n/a	1.0	1.0	46.0	1.993598	3.0
38.0	10.0	false belief story	n/a	n/a	n/a	n/a	n/a
40.0	2.0	n/a	1.0	1.0	46.0	1.994549	3.0
42.0	2.0	n/a	1.0	1.0	46.0	1.993718	3.0
44.0	2.0	n/a	1.0	1.0	46.0	1.994261	3.0
46.0	2.0	n/a	1.0	1.0	46.0	1.994456	3.0
48.0	2.0	n/a	0.0	0.0	46.0	1.996259	0.0
50.0	2.0	n/a	0.0	0.0	46.0	1.993868	0.0
52.0	2.0	n/a	0.0	0.0	46.0	1.995127	0.0
54.0	2.0	n/a	1.0	1.0	46.0	1.994445	3.0
54.0	6.0	false belief question	n/a	n/a	n/a	n/a	n/a
56.0	2.0	n/a	1.0	1.0	35.0	1.864935	3.0
58.0	2.0	n/a	1.0	1.0	46.0	1.994399	3.0
60.0	2.0	n/a	0.0	0.0	46.0	1.993825	0.0
62.0	2.0	n/a	0.0	0.0	46.0	1.995576	0.0
64.0	2.0	n/a	0.0	0.0	46.0	1.99606	0.0
66.0	2.0	n/a	0.0	0.0	46.0	1.993729	0.0
68.0	2.0	n/a	0.0	0.0	46.0	1.995299	0.0
70.0	10.0	false belief story	n/a	n/a	n/a	n/a	n/a
70.0	2.0	n/a	1.0	2.0	46.0	1.994554	11.0
72.0	2.0	n/a	1.0	2.0	46.0	1.994227	11.0
74.0	2.0	n/a	1.0	2.0	46.0	1.993169	11.0
76.0	2.0	n/a	1.0	2.0	46.0	1.995266	11.0
78.0	2.0	n/a	1.0	2.0	46.0	1.99456	11.0
80.0	2.0	n/a	1.0	2.0	46.0	1.993287	11.0
80.0	6.0	false belief question	n/a	n/a	n/a	n/a	n/a
82.0	2.0	n/a	1.0	2.0	30.0	1.794486	11.0
84.0	2.0	n/a	1.0	2.0	46.0	1.994777	11.0
86.0	2.0	n/a	0.0	0.0	46.0	1.995418	0.0
88.0	2.0	n/a	0.0	0.0	46.0	1.993223	0.0
90.0	2.0	n/a	0.0	0.0	46.0	1.994655	0.0
92.0	2.0	n/a	0.0	0.0	46.0	1.994429	0.0
94.0	2.0	n/a	0.0	0.0	46.0	1.994969	0.0
96.0	10.0	false belief story	n/a	n/a	n/a	n/a	n/a
96.0	2.0	n/a	1.0	1.0	46.0	1.993731	5.0
98.0	2.0	n/a	1.0	1.0	46.0	1.993915	5.0
100.0	2.0	n/a	1.0	1.0	46.0	1.995461	5.0
102.0	2.0	n/a	1.0	1.0	46.0	1.995679	5.0
104.0	2.0	n/a	1.0	1.0	46.0	1.994223	5.0
106.0	2.0	n/a	0.0	0.0	46.0	1.99439	0.0
108.0	2.0	n/a	1.0	1.0	46.0	1.995419	5.0
108.0	6.0	false belief question	n/a	n/a	n/a	n/a	n/a
110.0	2.0	n/a	1.0	1.0	35.0	1.626318	5.0
112.0	2.0	n/a	1.0	1.0	46.0	1.993608	5.0
114.0	2.0	n/a	0.0	0.0	46.0	1.994577	0.0
116.0	2.0	n/a	0.0	0.0	46.0	1.995202	0.0
118.0	2.0	n/a	0.0	0.0	46.0	1.994581	0.0
120.0	2.0	n/a	0.0	0.0	46.0	1.993508	0.0
122.0	2.0	n/a	0.0	0.0	46.0	1.994427	0.0
124.0	2.0	n/a	2.0	2.0	46.0	1.994945	20.0
124.0	10.0	false photo story	n/a	n/a	n/a	n/a	n/a
126.0	2.0	n/a	2.0	2.0	46.0	1.995561	20.0
128.0	2.0	n/a	2.0	2.0	46.0	1.993687	20.0
130.0	2.0	n/a	2.0	2.0	46.0	1.994515	20.0
132.0	2.0	n/a	2.0	2.0	46.0	1.994088	20.0
134.0	2.0	n/a	0.0	0.0	46.0	1.994904	0.0
136.0	2.0	n/a	0.0	0.0	46.0	1.99416	0.0
138.0	2.0	n/a	0.0	0.0	46.0	1.995188	0.0
140.0	2.0	n/a	2.0	2.0	46.0	1.995744	20.0
140.0	6.0	false photo question	n/a	n/a	n/a	n/a	n/a
142.0	2.0	n/a	2.0	2.0	35.0	1.941481	20.0
144.0	2.0	n/a	2.0	2.0	46.0	1.993588	20.0
146.0	2.0	n/a	0.0	0.0	46.0	1.994194	0.0
148.0	2.0	n/a	0.0	0.0	46.0	1.995331	0.0
150.0	2.0	n/a	0.0	0.0	46.0	1.993435	0.0
152.0	2.0	n/a	0.0	0.0	46.0	1.99297	0.0
154.0	2.0	n/a	0.0	0.0	46.0	1.993238	0.0
